鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德十九路６５１號,28.04,住,,,1110531,土地1建物1車位1,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1131011,135.35,0,1,1,有,有,22820000,194871,坡道平面,29.28,2150000,預售屋、或土地及建物分件登記案件；,RPPNMLNKJIJGFBB07DA,74.11,0.0,2.27,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德十九路６５５號,21.66,住,,,1110530,土地1建物1車位1,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1131011,108.93,0,1,1,有,有,17000000,186390,坡道平面,28.99,2100000,讓渡日期112.05.03新台幣1700萬元整預售屋、或土地及建物分件登記案件；,RPRNMLNKJIJGFBB27DA,56.38,0.0,0.0,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號七樓之１,30.82,住,,,1110514,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,142.14,3,2,2,有,有,20360000,161379,坡道平面,28.99,2100000,讓渡日期113.05.24預售屋、或土地及建物分件登記案件；,RPXNMLNKJIJGFBB87DA,65.85,0.0,8.05,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號八樓之１,30.82,住,,,1110521,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,142.14,3,2,2,有,有,20940000,166505,坡道平面,28.99,2100000,預售屋、或土地及建物分件登記案件；,RPOOMLNKJIJGFBB07DA,65.85,0.0,8.05,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號十三樓之１,30.82,住,,,1110518,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,142.14,3,2,2,有,有,20870000,165886,坡道平面,28.99,2100000,讓渡日期113.05.19新台幣2134萬元整預售屋、或土地及建物分件登記案件；,RPTOMLNKJIJGFBB57DA,65.85,0.0,8.05,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號六樓之２,22.05,住,,,1110517,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,14820000,158742,坡道平面,28.99,2000000,讓渡日期113.05.18新台幣1658萬元整預售屋、或土地及建物分件登記案件；,RPUQMLOKJIJGFBB97DA,49.01,0.0,3.7,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號七樓之２,22.05,住,,,1110516,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,15020000,161218,坡道平面,28.99,2000000,讓渡日期113.05.29預售屋、或土地及建物分件登記案件；,RPVQMLOKJIJGFBB08DA,49.01,0.0,3.7,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號八樓之２,22.05,住,,,1110517,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,15160000,162952,坡道平面,28.99,2000000,讓渡日期113.05.12新台幣1616萬元整預售屋、或土地及建物分件登記案件；,RPWQMLOKJIJGFBB18DA,49.01,0.0,3.7,有,00264
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號九樓之２,22.05,住,,,1110512,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,15360000,165428,坡道平面,28.99,2000000,讓渡日期113.07.12預售屋、或土地及建物分件登記案件；,RPXQMLOKJIJGFBB28DA,49.01,0.0,3.7,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號十樓之２,22.05,住,,,1110514,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,15410000,166048,坡道平面,28.99,2000000,讓渡日期112.12.28新台幣1545萬元整預售屋、或土地及建物分件登記案件；,RPORMLOKJIJGFBB47DA,49.01,0.0,3.7,有,
