標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
碇內綠第高樓綠景２房車位,基隆市暖暖區碇內街,30.8年,大樓,38.53,22.42,2房2廳2衛,12樓/14樓,坡道平面車位,798,1661NQ,2025-10-02 03:12:57
基隆保定段建地,基隆市安樂區新西街,,土地,56.57,,,,無車位,868,3360TM,2025-10-02 03:12:57
華納社區邊間大空間首選,基隆市七堵區六堵一街,17.2年,透天,91.1,88.21,3房3廳3衛,1-5樓/5樓,其他,2,4497HK,2025-10-02 03:12:57
基隆信義千坪＜住四＞土地,基隆市信義區深澳坑路,,土地,1809.2,,,,無車位,36,2073UZ,2025-10-02 03:12:57
水美海景明亮一房車位,基隆市中正區觀海街,26.7年,大樓,33.9,17.52,1房2廳1衛,13樓/16樓,坡道平面車位,638,7513SH,2025-10-02 03:12:57
麗景天下我有靠山獨棟透天麗景天下(基隆),基隆市七堵區麗景二街,34.5年,透天,107.2,80.79,7房3廳3衛2室,B1-3樓/3樓,無車位,2,0846FR,2025-10-02 03:12:57
❤️首購低總價４房,基隆市七堵區長安街,29.4年,公寓,30.16,29.2,4房2廳2衛,2樓/5樓,無車位,688,1299HN,2025-10-02 03:12:57
優美碇內好吉市,基隆市暖暖區碇內街,12.1年,大樓,53.75,33.26,3房2廳2衛1室,6樓/14樓,坡道平面車位,1,1382HZ,2025-10-02 03:12:57
中船路便利傳家美寓,基隆市中正區中船路,46.9年,公寓,17.83,17.83,2房2廳1衛,5樓/5樓,無車位,288,27284R,2025-10-02 03:12:57
宏貿臻璽兩房稀有釋出,基隆市中山區中和路,1.7年,華廈,26.05,16.46,2房2廳1衛,4樓/9樓,無車位,980,3573UK,2025-10-02 03:12:57
暖暖優質透天,基隆市暖暖區源遠路,36.2年,透天,51.89,45.98,3房4廳4衛1室(含加蓋2廳2衛),1-2樓/2樓,無車位,1,7073QV,2025-10-02 03:12:57
近基隆火車站公寓３房,基隆市安樂區安樂路一段,42.0年,公寓,28.05,28.05,3房2廳1衛,4樓/5樓,無車位,520,3479NP,2025-10-02 03:12:57
信義之心●兩房車位,基隆市信義區崇法街,5.4年,華廈,38.41,19.49,2房2廳1衛,3樓/9樓,坡道平面車位,1,24560L,2025-10-02 03:12:57
基隆歐風黃金美寓,基隆市信義區東信路,34.6年,公寓,65.71,53.77,4房2廳3衛1室,1樓/5樓,坡道平面車位,1,0420FG,2025-10-02 03:13:06
原美超優電梯四房一手屋,基隆市七堵區綠葉街,13.7年,華廈,49.34,33.55,4房2廳2衛,2樓/6樓,無車位,1,99561T,2025-10-02 03:13:06
隆聖新天鵝堡電梯大別墅,基隆市安樂區武隆街,19.2年,透天,110.01,71.89,4房3廳3.5衛,1-4樓/4樓,坡道平面車位,3,7038QT,2025-10-02 03:13:06
廟口夜市質感裝潢獨棟透天,基隆市仁愛區仁二路,59.5年,透天,29.8,29.8,4房4廳4衛(含加蓋2房2廳2衛),1-2樓/2樓,無車位,1,1383PK,2025-10-02 03:13:06
基隆橘郡４房車位,基隆市安樂區麥金路,28.2年,大樓,52.23,36.34,4房2廳2衛,5樓/12樓,坡道機械車位,1,3346WQ,2025-10-02 03:13:06
綠葉大空間附車位,基隆市七堵區綠葉街,26.3年,華廈,31.61,15.46,2房2廳2衛2室(含加蓋1房1衛2室),8樓/9樓,坡道平面車位,838,0244MK,2025-10-02 03:13:06
名軒新天地裝潢明亮美三房,基隆市七堵區泰安路,17.9年,華廈,38.55,29.05,3房2廳2衛,8樓/10樓,無車位,1,4574XT,2025-10-02 03:13:06
武昌街質感裝潢邊間店面,基隆市中正區武昌街,40.3年,店面/辦公,32.3,17.58,2廳2衛3室(含加蓋1廳1衛2室),1樓/5樓,無車位,1,4509DX,2025-10-02 03:13:06
暖暖壹樓公寓,基隆市暖暖區源遠路,47.4年,公寓,19.57,19.57,3房1廳1衛,1樓/2樓,無車位,600,5169AY,2025-10-02 03:13:06
【土地】暖暖區源遠段,基隆市暖暖區東碇路,,土地,510.92,,,,無車位,12,77250M,2025-10-02 03:13:06
【六堵科技園區】稀有廠辦,基隆市七堵區工建南路,59.9年,廠房,441.04,441.04,4廳4衛(含加蓋2廳2衛),1-1樓/1樓,無車位,35,9524CD,2025-10-02 03:13:06
【基隆七堵】百福優質三房,基隆市七堵區實踐路,31.3年,公寓,30.9,28.55,3房2廳2衛,5樓/5樓,無車位,598,4793NB,2025-10-02 03:13:06
基隆七堵區千坪土地,基隆市七堵區華新二路,,土地,2383.7,,,,無車位,13,9778HJ,2025-10-02 03:13:06
基隆之眼千坪休閒農地,基隆市七堵區瑪東農路,,土地,5072.32,,,,無車位,7,92142G,2025-10-02 03:13:06
長安街一樓３房大空間,基隆市七堵區長安街,43.8年,公寓,28.73,24.07,3房2廳1衛,1樓/3樓,無車位,1,0312JC,2025-10-02 03:13:06
住宅用地１３９．１５坪,基隆市七堵區實踐路,,土地,139.15,,,0樓/0樓,無車位,7,90090D,2025-10-02 03:13:06
暖暖優質學區金店面,基隆市暖暖區東碇路,30.2年,店面,24.03,11.92,1廳1衛,1樓/7樓,無車位,928,7239BF,2025-10-02 03:13:06
基隆福民街●美寓三房,基隆市信義區福民街,43.6年,公寓,24.87,24.87,3房2廳2衛,4樓/4樓,無車位,438,9479VP,2025-10-02 03:13:06
七堵一層一戶四房大空間,基隆市七堵區長安街,10.0年,華廈,50.41,38.65,4房2廳2衛,2樓/5樓,無車位,1,2777PN,2025-10-02 03:13:06
