標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
甫園裝潢美屋附平面車位光復-甫園NO5,新竹市光復路一段,31.9年,公寓,40.05,26.2,3房2廳2衛,3樓/5樓,坡道平面車位,1,6618HN,2025-09-20 11:11:44
竹光運動中心旁三房平車愛菲爾,新竹市竹光路,30.2年,大樓,43.34,24.06,3房2廳1衛,10樓/20樓,坡道平面車位,1,1207ZW,2025-09-20 11:11:44
北大愛樂三房車位北大愛樂,新竹市北大路,18.2年,大樓,42.24,27.46,3房2廳2衛,9樓/28樓,坡道機械車位,1,5997HC,2025-09-20 11:11:44
北大愛樂美三房北大愛樂,新竹市北大路,18.2年,大樓,34.08,24.74,3房2廳2衛,6樓/28樓,無車位,1,7225YW,2025-09-20 11:11:44
椰城望竹北城市景觀三房椰城,新竹市光復路一段,26.7年,大樓,41.63,24.57,3房2廳1衛,14樓/14樓,坡道平面車位,1,5529XN,2025-09-20 11:11:44
關新一綻棒視野３房豐邑一綻,新竹市關新路,0.7年,大樓,47.09,24,3房2廳2衛,21樓/24樓,坡道平面車位,3,3380JG,2025-09-20 11:11:44
東大ＨｏＬａ。看高樓美屋東大HOLA,新竹市東大路三段,9.8年,華廈,53.33,29.22,2房2廳2衛1室,8樓/8樓,坡道平面車位,2,7602CY,2025-09-20 11:11:54
湳雅空一視野採光三房空軍一村3區,新竹市武陵路,21.6年,大樓,46.69,29.9,3房2廳2衛,11樓/11樓,坡道平面車位,1,1721RL,2025-09-20 11:11:54
近綠園道質感裝潢三房雙車東方明珠,新竹市慈雲路,9.8年,大樓,75.29,36.53,3房2廳2衛,4樓/27樓,兩個以上車位,3,2435XN,2025-09-20 11:11:54
昌益瑞典綠洲典雅美３房幸福城邦二期-瑞...,新竹市東新路,5.0年,大樓,59.54,34.05,3房2廳2衛1室,11樓/14樓,坡道平面車位,3,0157XD,2025-09-20 11:11:54
近竹科椰城高樓層三房車位椰城,新竹市光復路一段,26.7年,大樓,45.91,24.57,3房2廳2衛,9樓/14樓,坡道平面車位,1,0999VR,2025-09-20 11:11:54
典雅質感富宇雲悅方正兩房富宇雲悅,新竹市埔頂一路,7.4年,大樓,41.32,20.62,2房2廳1衛,6樓/14樓,坡道平面車位,2,9696AL,2025-09-20 11:11:54
一綻視野美２房豐邑一綻,新竹市關新路,0.7年,大樓,37.23,17.68,2房2廳1衛,6樓/24樓,坡道平面車位,2,6386PM,2025-09-20 11:11:54
天際海景視野精裝宅,新竹市東大路四段,15.2年,大樓,52.03,29.44,3房2廳2衛,11樓/13樓,坡道平面車位,1,8191BR,2025-09-20 11:11:54
金雅區鴻柏織光四房雙平車鴻柏織光,新竹市金雅路,5.4年,大樓,65.12,29.75,4房2廳2衛,4樓/15樓,兩個以上車位,3,6004TT,2025-09-20 11:11:54
親親寶貝大戶親親寶貝,新竹市南大路,29.4年,華廈,56.48,42.71,2房2廳2衛,5樓/5樓,坡道平面車位,2,1531LV,2025-09-20 11:11:54
⭐關埔～昌益林園四房昌益林園,新竹市埔頂路,28.1年,華廈,43.57,32.47,4房2廳2衛,4樓/8樓,坡道機械車位,1,15865D,2025-09-20 11:11:54
鼎泰天廈一樓鼎泰天下,新竹市光復路二段,30.9年,辦公/大樓,34.66,23.66,2房2廳1衛,1樓/12樓,無車位,990,0774XH,2025-09-20 11:11:54
湳雅大全聯平面車位,新竹市國華街,33.0年,華廈,31.45,22.34,3房2廳2衛(含加蓋1房),6樓/7樓,坡道平面車位,1,8415HJ,2025-09-20 11:11:54
近關埔國小竹科潤隆美三房,新竹市埔頂三路,2.3年,大樓,43.93,21.84,3房2廳2衛,24樓/29樓,坡道平面車位,2,2698MK,2025-09-20 11:11:54
哈佛世家視野美三房,新竹市光復路一段,29.6年,大樓,47.01,27.66,3房2廳2衛,16樓/16樓,坡道平面車位,1,0219VL,2025-09-20 11:11:54
建功學區視野大空間,新竹市建功二路,43.8年,公寓,34.31,34.31,3房2廳2衛1室,5樓/5樓,無車位,1,2459LN,2025-09-20 11:11:54
＃稀有視野朝西南戶雙車位文心匯,新竹市慈雲路,6.4年,大樓,59.76,25.28,3房2廳2衛,28樓/29樓,兩個以上車位,3,6793XZ,2025-09-20 11:11:54
星河麗｜高樓層精裝景觀戶,新竹市關新路,11.9年,大樓,97.66,49.64,3房2廳2衛,24樓/24樓,兩個以上車位,4,6920MX,2025-09-20 11:11:54
稀有兩房兩衛有車位,新竹市忠信路,2.0年,華廈,33.65,20.8,2房2廳2衛,5樓/5樓,一樓平面車位,1,9906WX,2025-09-20 11:11:54
近城隍廟視野美三房,新竹市北大路,28.7年,公寓,26.08,21.08,4房3廳3衛(含加蓋1房1廳2衛),5樓/5樓,無車位,850,5537PZ,2025-09-20 11:11:54
近大全聯３房車位萬邦東都,新竹市東明街,32.0年,華廈,37,22.76,3房2廳2衛,1樓/5樓,坡道機械車位,1,7150JC,2025-09-20 11:12:04
臻藏．坤山大三房平車坤山和歌,新竹市光復路一段,26.8年,華廈,46.85,29.76,3房2廳2衛,3樓/9樓,坡道平面車位,2,4013BC,2025-09-20 11:12:04
椰城三房附平面車位椰城,新竹市光復路一段,26.7年,大樓,43.08,26.67,3房2廳2衛,4樓/14樓,坡道平面車位,1,7014ZR,2025-09-20 11:12:04
孟竹國宅方正採光溫馨美居,新竹市建功一路,41.4年,公寓,22.96,22.96,4房1廳1.5衛,5樓/5樓,無車位,1,5503AM,2025-09-20 11:12:04
煙波ＣＡＳＡ綠景美屋平車煙波CASA,新竹市中山路,13.0年,華廈,45.63,24.03,2房2廳2衛,7樓/10樓,坡道平面車位,1,3645KT,2025-09-20 11:12:04
南寮海景【天際】視野美屋,新竹市東大路四段,15.2年,大樓,76.96,47.06,3房2廳3衛,13樓/13樓,坡道平面車位,2,3268SD,2025-09-20 11:12:04
夢想市美裝潢四房車位夢想市,新竹市立鵬路,10.8年,大樓,64.78,39.36,4房2廳2衛,11樓/25樓,坡道平面車位,3,2153SR,2025-09-20 11:12:04
三民諾貝爾美３房,新竹市自由路,27.2年,華廈,32.24,26.44,3房2廳2衛1室,6樓/7樓,無車位,1,1756GP,2025-09-20 11:12:04
店長主推－市區綠光大空間昌益綠光文創園區...,新竹市鐵道路一段,14.2年,辦公/大樓,93.39,57.95,4房2廳2衛,7樓/14樓,兩個以上車位,4,8169UJ,2025-09-20 11:12:04
優質園區首選關新月影,新竹市關新路,17.0年,辦公/大樓,10.67,7.05,1房1衛,5樓/13樓,無車位,788,9966BY,2025-09-20 11:12:04
精美甫園三房平面車位光復-甫園NO5,新竹市光復路一段,31.9年,公寓,38.43,24.11,3房2廳2衛,2樓/5樓,坡道平面車位,1,2768JS,2025-09-20 11:12:04
近巨城生活圈採光佳三房,新竹市北大路,31.4年,大樓,34.04,28.37,3房2廳2衛,4樓/12樓,無車位,1,9038JT,2025-09-20 11:12:04
大景首席庭院三房雙車位,新竹市東大路二段,1.2年,大樓,56.1,29.98,3房2廳2衛,1樓/14樓,兩個以上車位,3,6832UV,2025-09-20 11:12:04
買服１％禾雅美三房車位佳鏵禾雅,新竹市金雅三街,6.0年,華廈,46.12,24.79,3房2廳2衛,2樓/9樓,坡道平面車位,1,5054AV,2025-09-20 11:12:04
專任經國最愛低總價高樓戶,新竹市經國路二段,28.2年,套房/辦公/大樓,8.24,5.3,1廳1衛,10樓/12樓,無車位,268,9937JP,2025-09-20 11:12:04
文心匯溫馨３房附電動車位文心匯,新竹市慈雲路,6.4年,大樓,52.08,26.41,3房2廳2衛,6樓/29樓,坡道平面車位,2,3445UV,2025-09-20 11:12:04
＃稀有前後採光瑞士花園幸福城邦一期-瑞...,新竹市東竹路,5.2年,大樓,50.99,28.34,3房2廳2衛,12樓/15樓,坡道平面車位,3,2024UL,2025-09-20 11:12:04
帝閣高樓層採光三房,新竹市天府路二段,7.8年,華廈,40.5,24.56,3房2廳2衛,10樓/10樓,坡道機械車位,1,5524YK,2025-09-20 11:12:04
首購看過來新竹市大套房,新竹市四維路,34.2年,套房/大樓,20.27,14.39,1房1廳1衛,5樓/12樓,無車位,598,0406TC,2025-09-20 11:12:04
關新一極視野美三房車位一極,新竹市關新路,13.8年,大樓,52.03,29.61,3房2廳2衛,8樓/24樓,坡道平面車位,3,5444ZG,2025-09-20 11:12:04
南清大旁小豪宅,新竹市食品路,32.2年,華廈,17.73,15.85,1房2廳1衛,3樓/5樓,無車位,728,1865KQ,2025-09-20 11:12:12
買服１％－近好市多美三房晴空匯,新竹市慈雲路,10.8年,大樓,56.49,31.43,3房2廳2衛,3樓/28樓,坡道平面車位,3,5746LS,2025-09-20 11:12:12
【帝國新象】視野美四房帝國新象,新竹市光復路二段,31.6年,大樓,63.44,46.95,4房2廳2衛,22樓/22樓,坡道平面車位,3,1673YU,2025-09-20 11:12:12
文心匯近關埔國小三房車位文心匯,新竹市慈雲路,6.4年,大樓,50.69,25.15,3房2廳2衛,8樓/29樓,坡道平面車位,2,8106SS,2025-09-20 11:12:12
觀璞方正採光三房平面車位觀璞,新竹市長春街,19.0年,大樓,43.79,25.84,3房2廳2衛,9樓/13樓,坡道平面車位,3,6458BS,2025-09-20 11:12:12
絕美夢幻採光綠光昌益綠光文創園區...,新竹市鐵道路一段,14.2年,辦公/大樓,44.83,26.78,2房2廳2衛,8樓/14樓,坡道平面車位,2,8248SD,2025-09-20 11:12:12
首購首選煙波行館四房平車煙波行館,新竹市天府路一段,17.3年,大樓,46.98,26.26,4房2廳2衛,12樓/14樓,坡道平面車位,1,7571FT,2025-09-20 11:12:12
植森園靜謐綠意四房美宅植森園,新竹市牛埔南路,13.1年,大樓,57.21,34.41,4房2廳2衛,3樓/11樓,坡道平面車位,2,7699MJ,2025-09-20 11:12:12
