標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,圖片網址
和築Ｆ１邊間３房廣闊視野和築F1,台中市太平區環中東路三段,9.8年,大樓,49.54,26.65,3房2廳2衛,15樓/15樓,坡道平面車位,1588,3921YJ,https://res.sinyi.com.tw/buy/3921YJ/smallimg/A.JPG
北屯松竹商圈大空間四房大都會,台中市北屯區松山街,34.0年,大樓,53.38,43.49,4房3廳2衛,3樓/13樓,無車位,1298,3924WX,https://res.sinyi.com.tw/buy/3924WX/smallimg/A.JPG
專任文心會館２房視野裝潢文心會館,台中市北區青島東街,19.7年,大樓,36.23,22.04,2房2廳1衛,14樓/14樓,坡道機械車位,1580,3939FS,https://res.sinyi.com.tw/buy/3939FS/smallimg/A.JPG
降價！中科超值三房車位楓格花園,台中市西屯區福科路,31.8年,大樓,41.89,32.46,3房2廳2衛,11樓/12樓,坡道機械車位,1098,3950ZX,https://res.sinyi.com.tw/buy/3950ZX/smallimg/A.JPG
謙謙太子四房平車視野宅謙謙太子,台中市西屯區上安路,16.1年,大樓,91.3,58.1,4房2廳3衛,6樓/19樓,坡道平面車位,3950,3962CM,https://res.sinyi.com.tw/buy/3962CM/smallimg/A.JPG
聯聚怡和視野看國家歌劇院聯聚怡和,台中市西屯區市政北二路,16.9年,大樓,155.88,81.42,1廳,25樓/27樓,兩個以上車位,9050,4023WC,https://res.sinyi.com.tw/buy/4023WC/smallimg/A.JPG
達麗居山３房日式裝潢美屋達麗居山,台中市北屯區敦富路,4.7年,大樓,41.86,23.08,3房2廳2衛,2樓/15樓,坡道平面車位,1880,4037TP,https://res.sinyi.com.tw/buy/4037TP/smallimg/A.JPG
恩典高樓３房裝潢美屋壹號國道,台中市西屯區至善路,31.1年,大樓,40,26.96,3房2廳2衛,10樓/16樓,坡道機械車位,1399,4050HX,https://res.sinyi.com.tw/buy/4050HX/smallimg/A.JPG
大城香榭私藏三房平車大城香榭,台中市南區忠孝路,16.2年,大樓,46.94,25.57,3房2廳2衛,5樓/12樓,坡道平面車位,1798,4051HR,https://res.sinyi.com.tw/buy/4051HR/smallimg/A.JPG
美！近學校溫馨裝潢三房大家築,台中市南屯區河南路四段,28.0年,大樓,40.85,29.25,3房2廳2衛,11樓/14樓,無車位,1488,4057RB,https://res.sinyi.com.tw/buy/4057RB/smallimg/A.JPG
仰星殿高樓視野裝潢平車仰星殿,台中市西屯區臺灣大道三段,1.1年,大樓,34.78,15.65,2房2廳1衛,25樓/29樓,坡道平面車位,1680,4065PP,https://res.sinyi.com.tw/buy/4065PP/smallimg/A.JPG
龍邦鳳翔視野三房平車位龍邦鳳翔,台中市北屯區中清路二段,33.9年,大樓,44.5,26.51,3房2廳2衛,14樓/16樓,坡道平面車位,1350,4072XN,https://res.sinyi.com.tw/buy/4072XN/smallimg/A.JPG
專任！鄉林夏都兩房平車位鄉林夏都,台中市西區忠明南路,19.7年,大樓,36.34,20.2,2房2廳1衛,4樓/15樓,坡道平面車位,1498,4076RB,https://res.sinyi.com.tw/buy/4076RB/smallimg/A.JPG
全新落成德鑫一璟四房雙車德鑫一璟,台中市北屯區北平路四段,1.1年,大樓,68.17,34.15,4房2廳3衛,6樓/24樓,兩個以上車位,3688,4079QW,https://res.sinyi.com.tw/buy/4079QW/smallimg/A.JPG
寶輝世紀花園高樓雙車位寶輝世紀花園,台中市西屯區河南路三段,17.2年,大樓,139.59,74.57,1廳,13樓/26樓,兩個以上車位,7088,4082YG,https://res.sinyi.com.tw/buy/4082YG/smallimg/A.JPG
帥！崇德巴黎三房四車位崇德巴黎,台中市北屯區崇德路二段,31.5年,大樓,50.9,29.83,3房2廳2衛,6樓/13樓,兩個以上車位,1388,4095BL,https://res.sinyi.com.tw/buy/4095BL/smallimg/A.JPG
近大勇國小高樓３房崇倫大廈,台中市西區南屯路一段,29.9年,大樓,48.15,35.01,3房2廳2衛,10樓/15樓,無車位,1458,4100KZ,https://res.sinyi.com.tw/buy/4100KZ/smallimg/A.JPG
近漢神三房平車高樓美視野蒲弘里仁美,台中市北屯區長生一街,7.7年,大樓,51.97,27.35,3房2廳2衛,13樓/13樓,坡道平面車位,2288,4110XQ,https://res.sinyi.com.tw/buy/4110XQ/smallimg/A.JPG
世紀之頂高樓視野美屋Ａ２世紀之頂,台中市西屯區文心路三段,17.2年,大樓,108.89,58.31,3房2廳3衛,28樓/28樓,兩個以上車位,4980,41336F,https://res.sinyi.com.tw/buy/41336F/smallimg/A.JPG
近文心森林公園高樓視野戶博克萊,台中市南屯區大墩七街,4.9年,大樓,43.78,21.16,1廳1衛,21樓/24樓,坡道平面車位,2645,4141LK,https://res.sinyi.com.tw/buy/4141LK/smallimg/A.JPG
勝麗方程市首購２房勝麗方程市,台中市北屯區敦富路,4.9年,大樓,36.03,18.05,2房2廳1衛,3樓/15樓,坡道平面車位,1468,4146TU,https://res.sinyi.com.tw/buy/4146TU/smallimg/A.JPG
南屯兩房平車美裝潢宏亞嶺匯,台中市南屯區文山十街,8.9年,大樓,37.9,18.6,2房2廳1衛,12樓/12樓,坡道平面車位,1498,4157CH,https://res.sinyi.com.tw/buy/4157CH/smallimg/A.JPG
【科博苑】大三房現隔兩房泉宇科博苑,台中市西區健行路,12.0年,大樓,66.78,34.38,2房2廳2衛,3樓/15樓,兩個以上車位,2950,4158NJ,https://res.sinyi.com.tw/buy/4158NJ/smallimg/A.JPG
推薦★近綠園道★三房車位工學天下,台中市南區工學北路,31.7年,大樓,48.79,35.27,3房2廳2衛,15樓/16樓,坡道機械車位,1298,4158TZ,https://res.sinyi.com.tw/buy/4158TZ/smallimg/A.JPG
首購！東山學區旁明亮三房班芙春泉,台中市北屯區景賢二路,20.3年,大樓,42.53,29.17,3房2廳2衛,5樓/11樓,無車位,1388,4167YB,https://res.sinyi.com.tw/buy/4167YB/smallimg/A.JPG
近單元１２視野兩房平車昂峰詠青,台中市北屯區景和街,11.6年,大樓,35.16,18.76,2房2廳1衛,10樓/12樓,坡道平面車位,1389,4171JZ,https://res.sinyi.com.tw/buy/4171JZ/smallimg/A.JPG
國泰面公園三房視野戶國泰MOST+,台中市北屯區山西路二段,2.0年,大樓,44.83,25.13,3房2廳2衛,12樓/15樓,坡道平面車位,2880,4177BZ,https://res.sinyi.com.tw/buy/4177BZ/smallimg/A.JPG
聯聚泰和鋼骨結構質感豪邸聯聚泰和,台中市西屯區市政北一路,9.4年,大樓,137.43,73.13,1廳4衛,23樓/28樓,兩個以上車位,8200,4180GZ,https://res.sinyi.com.tw/buy/4180GZ/smallimg/A.JPG
近大慶商圈震後三房雙車位國雄馥花園,台中市南區東興路一段,16.1年,大樓,56.21,27.26,3房2廳2衛,3樓/12樓,兩個以上車位,2168,4199FV,https://res.sinyi.com.tw/buy/4199FV/smallimg/A.JPG
捷運主＋陽近３０坪雙平車鵬程NEW1,台中市北屯區北屯路,11.1年,大樓,63.34,29.82,2房2廳2衛,11樓/25樓,兩個以上車位,2268,4245QD,https://res.sinyi.com.tw/buy/4245QD/smallimg/A.JPG
四季天韻！美裝潢露臺戶四季天韻,台中市西屯區市政北一路,16.7年,大樓,164.6,102.95,4房2廳4衛1室,3樓/35樓,兩個以上車位,5858,4250QM,https://res.sinyi.com.tw/buy/4250QM/smallimg/A.JPG
西屯中科視野四房平車麗景天地-迎曦樓,台中市西屯區福林路,35.2年,大樓,81.61,65.46,4房2廳2衛,5樓/12樓,坡道平面車位,1958,4259KJ,https://res.sinyi.com.tw/buy/4259KJ/smallimg/A.JPG
國聚花園３房雙車位視野戶國聚花園御所,台中市南屯區向上路三段,9.1年,大樓,70.65,37.39,3房2廳2衛1室,20樓/20樓,兩個以上車位,3980,4262XD,https://res.sinyi.com.tw/buy/4262XD/smallimg/A.JPG
聯聚理仁奢華典藏聯聚理仁,台中市西屯區市政北一路,12.7年,大樓,122.86,66.73,4房2廳3衛,7樓/25樓,兩個以上車位,7388,4276UT,https://res.sinyi.com.tw/buy/4276UT/smallimg/A.JPG
首選！賴厝曉明極美宅雙車聚合發迎翠,台中市北區文昌東一街,7.7年,大樓,57.71,24.82,3房2廳2衛,6樓/14樓,兩個以上車位,2850,4292DV,https://res.sinyi.com.tw/buy/4292DV/smallimg/A.JPG
十月蜂收三房平車歡迎看屋十月蜂收,台中市北屯區和福路,2.9年,大樓,47.39,25.46,3房2廳2衛,2樓/15樓,坡道平面車位,1680,4295VY,https://res.sinyi.com.tw/buy/4295VY/smallimg/A.JPG
高樓邊間三房車位雙面採光黎明太陽神,台中市南屯區黎明路二段,32.4年,大樓,38.36,28.58,3房2廳2衛,10樓/13樓,坡道機械車位,1380,4309SK,https://res.sinyi.com.tw/buy/4309SK/smallimg/A.JPG
順天敦凰裝潢雙平車樹梢戶順天敦凰,台中市北屯區松竹路三段,13.0年,大樓,95.83,49.88,4房2廳3衛,3樓/21樓,兩個以上車位,3880,4314UH,https://res.sinyi.com.tw/buy/4314UH/smallimg/A.JPG
興安商圈低總價三房,台中市北屯區崇德六路一段,34.7年,華廈,29.5,23.76,3房2廳2衛,3樓/7樓,無車位,748,4317UW,https://res.sinyi.com.tw/buy/4317UW/smallimg/A.JPG
愜意生活悅寶旺附平車悅寶旺,台中市北屯區太祥路,8.9年,華廈,22.24,10.4,2房2廳2衛(含加蓋1房1衛),10樓/10樓,坡道平面車位,1358,4319LT,https://res.sinyi.com.tw/buy/4319LT/smallimg/A.JPG
強案！藝術園區三房平車三采藝術園區,台中市南屯區公益路二段,27.4年,大樓,50.68,31.09,3房2廳2衛,2樓/14樓,坡道平面車位,1680,4359HL,https://res.sinyi.com.tw/buy/4359HL/smallimg/A.JPG
面兒童公園★寶璽採光四房寶璽綠邸,台中市北屯區文昌東十二街,33.8年,大樓,67.35,51.75,4房2廳2衛,11樓/11樓,坡道機械車位,1998,4376YD,https://res.sinyi.com.tw/buy/4376YD/smallimg/A.JPG
屋主誠售採光三房平移車位文心青邁,台中市北屯區遼陽一街,32.5年,華廈,33.11,26.26,3房2廳1衛,5樓/8樓,坡道機械車位,1098,4380MB,https://res.sinyi.com.tw/buy/4380MB/smallimg/A.JPG
專任榮耀有視野先看我這間聚合發榮耀,台中市西屯區市政北七路,15.7年,大樓,96.42,54.3,3房2廳4衛1室,27樓/28樓,兩個以上車位,4500,4420KZ,https://res.sinyi.com.tw/buy/4420KZ/smallimg/A.JPG
五期精華地段四房寶祥大樓,台中市南屯區大進街,34.3年,華廈,47.15,38.39,4房2廳2衛,3樓/10樓,無車位,1488,4442CJ,https://res.sinyi.com.tw/buy/4442CJ/smallimg/A.JPG
聚合發天廈四房視野雙平車聚合發天廈,台中市西屯區環中路三段,11.2年,大樓,86.54,45.55,4房2廳2衛,11樓/38樓,兩個以上車位,3998,4451PL,https://res.sinyi.com.tw/buy/4451PL/smallimg/A.JPG
百達富裔前棟超高樓４車位百達富裔,台中市西屯區臺灣大道三段,15.7年,大樓,162.74,92.17,3房2廳3衛,30樓/35樓,兩個以上車位,5398,4452XU,https://res.sinyi.com.tw/buy/4452XU/smallimg/A.JPG
北屯裝潢三房平車鼎川優閣,台中市北屯區祥順一街,11.5年,華廈,41.65,25.22,3房2廳2衛,2樓/7樓,坡道平面車位,1498,4466TL,https://res.sinyi.com.tw/buy/4466TL/smallimg/A.JPG
四維國小站。採光優美兩房總統閣廈,台中市北屯區天津路四段,31.2年,大樓,15.63,10.18,2房1廳1衛,7樓/24樓,無車位,678,4469UH,https://res.sinyi.com.tw/buy/4469UH/smallimg/A.JPG
珍藏上安居三房雙車位美屋上安居,台中市西屯區上安路,11.5年,大樓,77.51,43.9,3房2廳2衛1室,4樓/15樓,兩個以上車位,2980,4491QW,https://res.sinyi.com.tw/buy/4491QW/smallimg/A.JPG
登陽春賞朝南視野雙車戶登陽春賞,台中市北屯區敦富路,5.8年,大樓,71.63,32.67,3房2廳2衛,14樓/19樓,兩個以上車位,2698,4498YD,https://res.sinyi.com.tw/buy/4498YD/smallimg/A.JPG
近櫻花捷運站優質套房櫻城園邸-竹園,台中市西屯區櫻城三街,31.4年,華廈,6.91,4.57,1房1衛,6樓/8樓,無車位,237,45008A,https://res.sinyi.com.tw/buy/45008A/smallimg/A.JPG
晴美學晴天美學晴美學,台中市南區工學五街,11.3年,大樓,44.49,23.79,2房2廳2衛,4樓/12樓,坡道平面車位,1798,4510NL,https://res.sinyi.com.tw/buy/4510NL/smallimg/A.JPG
林鼎跨界３房平面車位林鼎跨界,台中市西屯區福安路,18.2年,大樓,53.63,33.2,3房2廳2衛,3樓/15樓,坡道平面車位,2488,4512BL,https://res.sinyi.com.tw/buy/4512BL/smallimg/A.JPG
稀有！太宇尊爵一房一廳太宇尊爵,台中市北屯區北屯路,30.3年,大樓,13.55,8.77,1房1廳1衛,9樓/16樓,無車位,438,4546XL,https://res.sinyi.com.tw/buy/4546XL/smallimg/A.JPG
新杜拜高樓２房附車位新杜拜,台中市西屯區國安一路,15.8年,大樓,24.53,13.48,2房2廳1衛,19樓/24樓,坡道機械車位,1298,4547AZ,https://res.sinyi.com.tw/buy/4547AZ/smallimg/A.JPG
鉅虹視野戶三房平車鉅虹水岸岩,台中市北屯區南興一路,5.0年,大樓,46.52,26.37,3房2廳2衛,3樓/14樓,坡道平面車位,2298,4557JP,https://res.sinyi.com.tw/buy/4557JP/smallimg/A.JPG
帝寶＜精美裝潢稀有釋出＞台中帝寶,台中市西屯區臺灣大道三段,10.6年,大樓,102.84,59.74,4房2廳3衛1室,14樓/35樓,兩個以上車位,5888,4558UY,https://res.sinyi.com.tw/buy/4558UY/smallimg/A.JPG
捷運宅！兩房兩衛裝潢戶巴黎第六區,台中市北屯區文心路四段,13.1年,大樓,27.93,18.45,2房2廳2衛,7樓/22樓,無車位,1288,45620V,https://res.sinyi.com.tw/buy/45620V/smallimg/A.JPG
杜拜精裝質感低總價兩房新杜拜,台中市西屯區國安一路,15.8年,大樓,20.32,13.48,2房2廳1衛,10樓/24樓,無車位,1088,4574AC,https://res.sinyi.com.tw/buy/4574AC/smallimg/A.JPG
單坪免３０萬！３房雙車位波音市-銀翼,台中市南屯區黎明東街,31.1年,大樓,67.21,44.33,3房2廳2衛,7樓/16樓,兩個以上車位,1998,4581VJ,https://res.sinyi.com.tw/buy/4581VJ/smallimg/A.JPG
文南仰真裝潢雙主臥雙平車文南仰真,台中市南屯區文心南路,11.8年,大樓,94.82,53,3房2廳3衛,5樓/29樓,兩個以上車位,4380,4595LZ,https://res.sinyi.com.tw/buy/4595LZ/smallimg/A.JPG
德鑫楓華採光大３房車位德鑫楓華,台中市南屯區楓和路,14.1年,大樓,49.88,29.21,3房2廳2衛,3樓/15樓,坡道機械車位,1798,4608GJ,https://res.sinyi.com.tw/buy/4608GJ/smallimg/A.JPG
虎嘯中村單坪免２２萬！,台中市東區進化路,27.3年,大樓,48.8,32.54,3房2廳2衛,4樓/16樓,無車位,1068,4619MB,https://res.sinyi.com.tw/buy/4619MB/smallimg/A.JPG
近文心崇德捷運站３房車位文心大第,台中市北屯區遼陽四街,33.4年,華廈,36.71,26.4,3房2廳2衛1室,5樓/8樓,坡道機械車位,938,4627ZU,https://res.sinyi.com.tw/buy/4627ZU/smallimg/A.JPG
★精華逢甲商圈美三房★富宇寶座,台中市西屯區寶慶街,33.9年,華廈,42.8,32.98,3房2廳2衛1室,8樓/10樓,無車位,1680,4649GM,https://res.sinyi.com.tw/buy/4649GM/smallimg/A.JPG
精緻裝潢摩登歐洲三房平車摩登歐洲,台中市西屯區逢甲路,27.4年,大樓,38.1,22.8,3房2廳2衛,9樓/14樓,坡道平面車位,1488,4650JU,https://res.sinyi.com.tw/buy/4650JU/smallimg/A.JPG
酷畫世紀高樓坡道休旅車位宏忠畫世紀,台中市北屯區崇德六路,33.1年,大樓,44.59,32.46,3房2廳2衛,9樓/12樓,坡道機械車位,1098,4650PD,https://res.sinyi.com.tw/buy/4650PD/smallimg/A.JPG
強案！近捷運三房休旅車位翰陽金墩,台中市南屯區南屯路二段,32.9年,大樓,40.59,32.8,3房2廳2衛,6樓/12樓,坡道機械車位,1258,4678JY,https://res.sinyi.com.tw/buy/4678JY/smallimg/A.JPG
靓★甜蜜溫馨美漂亮兩房讚,台中市大里區成功二路,0.7年,華廈,34.83,15.82,2房2廳1衛,7樓/10樓,坡道平面車位,1298,4696DX,https://res.sinyi.com.tw/buy/4696DX/smallimg/A.JPG
近捷運大業學區四房平車位龍觀天下,台中市南屯區大光街,32.1年,大樓,56.98,39.32,4房2廳2衛,4樓/20樓,坡道平面車位,1938,4721UM,https://res.sinyi.com.tw/buy/4721UM/smallimg/A.JPG
元城樂ｍｏｒｅ高樓３房元城樂MORE,台中市北區三民路三段,2.2年,大樓,41.87,21.14,3房2廳2衛,10樓/18樓,坡道平面車位,2088,4750BP,https://res.sinyi.com.tw/buy/4750BP/smallimg/A.JPG
【時代四季】朝南三房平車時代四季,台中市西屯區華美西街二段,10.4年,大樓,57.62,32,3房2廳2衛,5樓/12樓,坡道平面車位,2980,4757ZK,https://res.sinyi.com.tw/buy/4757ZK/smallimg/A.JPG
忠泰老佛爺●氣勢磅礡忠泰老佛爺,台中市北區館前路,2.6年,大樓,172.1,90.05,1廳,21樓/34樓,兩個以上車位,9140,4785NY,https://res.sinyi.com.tw/buy/4785NY/smallimg/A.JPG
免千萬大地交響大兩房美屋大地交響美廈,台中市北屯區崇德路二段,28.4年,大樓,30.75,21.83,2房2廳1衛,9樓/25樓,無車位,968,4826QK,https://res.sinyi.com.tw/buy/4826QK/smallimg/A.JPG
近捷運｜兩房兩衛美裝潢文心1號,台中市南屯區文心路一段,3.4年,大樓,41.81,22.26,2房2廳2衛,4樓/24樓,坡道機械車位,2088,4831ML,https://res.sinyi.com.tw/buy/4831ML/smallimg/A.JPG
太子臻品大三房附平車位太子臻品,台中市北屯區松竹路二段,27.4年,大樓,45.85,30.14,3房2廳2衛,4樓/14樓,坡道平面車位,1598,4834RV,https://res.sinyi.com.tw/buy/4834RV/smallimg/A.JPG
新光重劃區大智然三房平車昌祐大智然,台中市太平區太順路,5.5年,大樓,46.01,22.87,3房2廳2衛,7樓/15樓,坡道平面車位,1480,4841PL,https://res.sinyi.com.tw/buy/4841PL/smallimg/A.JPG
中國醫惠宇三房雙平車惠宇宇山鄰,台中市北屯區軍福七路,11.9年,大樓,67.67,33.65,3房2廳2衛,7樓/15樓,兩個以上車位,2780,4851XS,https://res.sinyi.com.tw/buy/4851XS/smallimg/A.JPG
青峰錦未住過四房附雙平車太子青峰錦,台中市西區向上路一段,10.9年,大樓,78.28,36.13,4房2廳2衛,11樓/20樓,兩個以上車位,4180,4895PB,https://res.sinyi.com.tw/buy/4895PB/smallimg/A.JPG
惠宇五十七間堂朝南美屋惠宇五十七間堂,台中市南屯區龍富十五路,7.6年,大樓,51.41,25.66,2房2廳2衛,4樓/15樓,坡道平面車位,2950,4903SW,https://res.sinyi.com.tw/buy/4903SW/smallimg/A.JPG
近文心秀泰好市多兩房平車文心愛悅,台中市南屯區文心南路,2.6年,大樓,34.29,15.72,2房2廳1衛,31樓/31樓,坡道平面車位,1668,4940MD,https://res.sinyi.com.tw/buy/4940MD/smallimg/A.JPG
生活藝境百坪裝潢露臺戶生活藝境,台中市北屯區青島路四段,33.5年,大樓,127.54,58,4房2廳3衛(含加蓋1房),4樓/16樓,坡道平面車位,2980,4949MQ,https://res.sinyi.com.tw/buy/4949MQ/smallimg/A.JPG
萬家福在隔壁勇建三房平車勇建光翼,台中市西屯區上石路,18.9年,大樓,49.79,26.88,3房2廳2衛,5樓/12樓,坡道平面車位,2488,4959MS,https://res.sinyi.com.tw/buy/4959MS/smallimg/A.JPG
精銳ＳＫＹ０ＮＥ朝東視野,台中市南屯區龍富路五段,0.9年,大樓,67.98,33.15,3房2廳2衛,13樓/23樓,兩個以上車位,4888,4989AT,https://res.sinyi.com.tw/buy/4989AT/smallimg/A.JPG
約７年屋林維三房平車塗城京讚,台中市大里區塗城路,7.5年,大樓,37.19,17.26,3房2廳1衛,6樓/11樓,坡道平面車位,1258,4992SX,https://res.sinyi.com.tw/buy/4992SX/smallimg/A.JPG
七期高級裝潢三房三平車台中帝寶,台中市西屯區臺灣大道三段,10.6年,大樓,127.43,72.24,3房2廳3衛,18樓/35樓,兩個以上車位,6980,5019PX,https://res.sinyi.com.tw/buy/5019PX/smallimg/A.JPG
北屯近新都生態公園大三房JF-13,台中市北屯區軍福十三路,9.8年,大樓,57.81,30.32,3房2廳2衛,5樓/12樓,坡道平面車位,1788,5020CB,https://res.sinyi.com.tw/buy/5020CB/smallimg/A.JPG
稀有朝東山景四房平車位佳昂太和,台中市北屯區軍福七路,5.1年,大樓,63.79,37.29,4房2廳2衛,3樓/14樓,坡道平面車位,2188,5038FU,https://res.sinyi.com.tw/buy/5038FU/smallimg/A.JPG
富宇富好高樓雙衛浴富宇富好,台中市北屯區敦富一街,2.3年,大樓,34.98,17.28,2房2廳2衛,10樓/12樓,坡道平面車位,1780,5062AB,https://res.sinyi.com.tw/buy/5062AB/smallimg/A.JPG
面馬禮遜大三房三室雙平車富宇觀頂,台中市北屯區梅川東路五段,14.7年,大樓,131.46,75.65,3房2廳4衛3室,8樓/24樓,兩個以上車位,4688,5064UF,https://res.sinyi.com.tw/buy/5064UF/smallimg/A.JPG
專任勤美園道宅觀雲三房鄉林觀雲,台中市西區向上路一段,19.9年,大樓,88.14,54.17,3房2廳2衛1室,8樓/27樓,兩個以上車位,3588,5138UG,https://res.sinyi.com.tw/buy/5138UG/smallimg/A.JPG
西屯白金漢宮兩房低總價白金漢宮,台中市西屯區寶慶街,25.9年,大樓,28.16,20.27,2房2廳1衛1室,3樓/14樓,無車位,950,5144WG,https://res.sinyi.com.tw/buy/5144WG/smallimg/A.JPG
１４期國泰建設三房平車位國泰美禾,台中市北屯區昌平東六路,1.0年,大樓,46.44,25.09,3房2廳2衛,7樓/13樓,坡道平面車位,2688,5150FJ,https://res.sinyi.com.tw/buy/5150FJ/smallimg/A.JPG
新青安！彩虹城三房附平車勝美彩虹城一期,台中市南屯區忠勇路,14.0年,大樓,37.72,21.12,3房2廳1衛,14樓/14樓,坡道平面車位,1450,5157LZ,https://res.sinyi.com.tw/buy/5157LZ/smallimg/A.JPG
面綠園道視野美屋親家No8,台中市南區忠明南路,31.7年,大樓,42.27,32.77,3房2廳2衛,8樓/13樓,坡道機械車位,1198,5163XN,https://res.sinyi.com.tw/buy/5163XN/smallimg/A.JPG
親家雲硯附三車位親家雲硯,台中市西屯區市政北一路,11.5年,大樓,87.62,52.16,1廳,10樓/39樓,兩個以上車位,3980,5207FH,https://res.sinyi.com.tw/buy/5207FH/smallimg/A.JPG
精誠商圈★典藏四房平車麥克阿瑟,台中市西區精誠路,35.9年,大樓,112.39,68.49,4房2廳4衛,4樓/14樓,坡道平面車位,2558,5227QB,https://res.sinyi.com.tw/buy/5227QB/smallimg/A.JPG
永興盛世自住裝潢三房車位永興盛世,台中市北區進化北路,30.9年,大樓,39.78,27.45,3房2廳2衛,7樓/12樓,升降機械車位,1398,5252NH,https://res.sinyi.com.tw/buy/5252NH/smallimg/A.JPG
中科雲世紀兩房兩衛配車位雲世紀C區梵谷星...,台中市西屯區西屯路三段,11.8年,大樓,35.05,18.48,2房2廳2衛,3樓/21樓,坡道機械車位,1632,5256TD,https://res.sinyi.com.tw/buy/5256TD/smallimg/A.JPG
登陽中山苑未住四房雙車位中山苑,台中市南區文心南路,13.1年,大樓,75.07,37.45,4房2廳2衛,12樓/15樓,兩個以上車位,3280,5268SY,https://res.sinyi.com.tw/buy/5268SY/smallimg/A.JPG
首購勤美小豪宅附平車位勝美LAONE,台中市西區英才路,16.1年,大樓,30.16,15.06,1房1廳1衛,3樓/13樓,坡道平面車位,1328,5270VM,https://res.sinyi.com.tw/buy/5270VM/smallimg/A.JPG
東方帝國。大氣磅礡Ｃ總太東方帝國,台中市西屯區文心路二段,15.5年,大樓,155.12,90.01,1廳,27樓/39樓,兩個以上車位,6580,5285DK,https://res.sinyi.com.tw/buy/5285DK/smallimg/A.JPG
興大河畔⭐平車精裝樹梢戶興大之櫻,台中市大里區祥興路,1.8年,大樓,46.91,25.15,3房2廳2衛,2樓/15樓,坡道平面車位,2198,5296RG,https://res.sinyi.com.tw/buy/5296RG/smallimg/A.JPG
市政交響曲面北一路首選！市政交響曲,台中市西屯區市政北一路,19.8年,大樓,43.73,22.72,3房2廳2衛,9樓/21樓,坡道平面車位,2150,5300FB,https://res.sinyi.com.tw/buy/5300FB/smallimg/A.JPG
工學商圈低總價三房車位廣三大時代,台中市南區工學二街,28.0年,大樓,37.58,26.57,3房2廳2衛,10樓/12樓,坡道機械車位,839,5321PZ,https://res.sinyi.com.tw/buy/5321PZ/smallimg/A.JPG
佳福青樂朝東四房附平車位佳福青樂,台中市北屯區軍福十五路,8.0年,大樓,57.29,31.93,4房2廳2衛,6樓/15樓,坡道平面車位,1998,5333CH,https://res.sinyi.com.tw/buy/5333CH/smallimg/A.JPG
☆誠售櫻花朝南３房平車☆櫻花知殷,台中市潭子區頭家路,1.4年,大樓,47.08,25.19,3房2廳2衛,2樓/12樓,坡道平面車位,1850,5336UX,https://res.sinyi.com.tw/buy/5336UX/smallimg/A.JPG
海德堡高樓視野三房附車位海德堡藝術廣場,台中市南屯區文心南二路,32.1年,大樓,43.4,31.47,3房2廳2衛,11樓/13樓,坡道機械車位,1588,5337UD,https://res.sinyi.com.tw/buy/5337UD/smallimg/A.JPG
屋主誠售！中山會館附車位佳茂中山會館,台中市潭子區中山路一段,18.6年,大樓,25.45,15.77,1房1廳1衛1室,10樓/14樓,坡道機械車位,1198,53549U,https://res.sinyi.com.tw/buy/53549U/smallimg/A.JPG
達麗Ｊ１２電動車位視野美達麗J12,台中市西屯區福星北路,3.8年,華廈,36.65,17,2房2廳2衛,9樓/9樓,坡道平面車位,1980,5359ZK,https://res.sinyi.com.tw/buy/5359ZK/smallimg/A.JPG
專任約｜仰雲稀有兩房車位,台中市西屯區福誠路,6.1年,大樓,30.8,17.35,2房2廳1衛,7樓/12樓,坡道機械車位,1688,5364QP,https://res.sinyi.com.tw/buy/5364QP/smallimg/A.JPG
大里塗城商圈低總價三房德昌國寶天下,台中市大里區國寶街,31.8年,華廈,37.28,27.8,3房2廳2衛,7樓/8樓,無車位,788,5379TN,https://res.sinyi.com.tw/buy/5379TN/smallimg/A.JPG
俗！南區高樓三房車位領袖勳章,台中市南區三民西路,32.0年,大樓,44.2,32.88,3房2廳2衛,14樓/16樓,坡道機械車位,1158,5399VF,https://res.sinyi.com.tw/buy/5399VF/smallimg/A.JPG
喬立月河精裝增建露臺戶喬立月河,台中市西屯區臺灣大道四段,17.4年,大樓,60.26,36.46,2房2廳2衛,3樓/26樓,坡道平面車位,2980,5468RG,https://res.sinyi.com.tw/buy/5468RG/smallimg/A.JPG
大陸麗格－經典義式美學麗格,台中市西屯區惠中路一段,6.7年,大樓,88.85,46.38,2房2廳2衛,18樓/33樓,兩個以上車位,6380,5475VX,https://res.sinyi.com.tw/buy/5475VX/smallimg/A.JPG
國聚之赫２房２衛稀有釋出國聚之赫,台中市西屯區福順路,2.8年,大樓,35.03,17.46,2房2廳2衛,6樓/15樓,坡道平面車位,2199,5497NG,https://res.sinyi.com.tw/buy/5497NG/smallimg/A.JPG
南屯兩房｜築夢成家奕遠宏居,台中市南屯區永春東七路,32.0年,華廈,22.1,17.96,2房2廳1衛,5樓/6樓,無車位,888,5508MS,https://res.sinyi.com.tw/buy/5508MS/smallimg/A.JPG
可看屋七期交響曲兩房平車市政交響曲,台中市西屯區市政北一路,19.8年,大樓,34.47,16.22,2房2廳1衛,9樓/28樓,坡道平面車位,1688,5531MU,https://res.sinyi.com.tw/buy/5531MU/smallimg/A.JPG
