標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號
【ＶＲ】愛眉⍍莊四季美屋愛眉山莊,台北市文山區辛亥路四段,22.1年,大樓/套房,13.85,9.81,1房1廳1衛,13樓/14樓,無車位,1240,2484BQ
鋼骨捷運採光景觀美套千金樣,台北市中山區林森北路,15.5年,大樓,13.72,8.84,1房1廳1衛,10樓/15樓,無車位,1368,4564TZ
永春大樓電梯三房永春大樓（國宅）,台北市信義區松山路,41.4年,大樓,26.5,19.35,3房2廳1衛,4樓/15樓,無車位,2088,0449AB
【北士科】御之邸次高樓遠雄御之邸,台北市北投區文林北路,12.9年,大樓,219.28,89.04,1廳4衛,22樓/23樓,兩個以上車位,19800,9668SS
森林公園大空間藝廊,台北市大安區新生南路三段,41.3年,店面/辦公/大樓,85.65,0,3廳1衛,-1樓/12樓,無車位,6980,1665VN
【富域】北投金店面,台北市北投區中央南路一段,0.8年,店面,23.06,16.71,1廳1衛,1樓/27樓,無車位,3300,2235PB
［紅線］幸福成家兩房車位貴園華廈,台北市北投區新民路,43.6年,華廈,44.61,26.72,2房2廳1衛,4樓/6樓,坡道平面車位,1650,9960YP
首購★大巨蛋寬面兩房電梯,台北市大安區市民大道四段,41.9年,華廈,23.74,21.22,2房2廳1衛1室,4樓/7樓,無車位,2430,0005HD
新接中山北路大同大學華廈,台北市中山區中山北路三段,47.2年,華廈/套房,10.7,8.91,1房1廳1衛,3樓/8樓,無車位,878,7167LS
天母新城✦恬靜大四房天母新城,台北市北投區天母西路,41.4年,華廈,59.2,46.68,4房2廳2衛,6樓/7樓,無車位,3888,8114HU
松河大美河景兩房車位松河大美,台北市松山區松河街,10.5年,大樓,37.08,20.66,2房2廳1衛,6樓/15樓,升降機械車位,3485,3586KU
南港美寓景三房,台北市南港區研究院路一段,43.3年,公寓,26.83,26.84,3房2廳1衛,4樓/5樓,無車位,1838,9957NR
【國館】東區四房美廈,台北市大安區延吉街,44.4年,華廈,43.88,38.65,4房2廳2.5衛1室,2樓/7樓,無車位,4180,0491VL
信義安和低總兩房,台北市大安區樂利路,41.7年,公寓,26.28,23.38,2房2廳1衛,5樓/5樓,無車位,2390,9691MC
【翔譽珍藏朝南景觀】翔譽101,台北市松山區八德路四段,11.8年,大樓,16.95,10.86,1房1廳1衛,12樓/13樓,無車位,2190,0418NY
北車京站美行館京站美行館,台北市大同區華陰街,12.7年,大樓/辦公,48.98,25.9,2房2廳2衛,3樓/13樓,兩個以上車位,4699,3955VT
三面採光一層一戶次高樓三石華廈,台北市中山區松江路,40.5年,華廈,46.85,41.55,4房2廳2衛,6樓/7樓,無車位,3780,8780XH
低總價管理住辦一樓大興華廈,台北市士林區重慶北路四段,46.7年,華廈,23.87,19.56,1房1廳1衛,1樓/7樓,無車位,1588,3732HZ
店長推薦南港電梯三房漱夏,台北市南港區松河街,17.2年,華廈,56.33,27.51,3房2廳2衛,2樓/9樓,坡道平面車位,4338,5874MU
敦南金店★米其林餐廳青睞,台北市大安區敦化南路一段,56.2年,店面,32.32,29.84,3房2廳1衛(含加蓋1衛),1樓/4樓,無車位,9680,7987FY
［新潤和峰］雙主臥附車位新潤和峰,台北市北投區磺港路,11.3年,大樓,80.26,44.13,4房2廳3衛,12樓/14樓,坡道平面車位,6688,07217D
科技捷運高樓捷運兩房信友大廈,台北市大安區復興南路二段,48.0年,大樓,23.75,20.2,2房2衛,10樓/12樓,無車位,2408,96182S
和風集景觀二房車位和風集,台北市文山區福興路,15.9年,大樓,33.62,14.92,2房2廳1衛,10樓/12樓,坡道平面車位,2088,6575TS
貴陽街方正採光好平面車位,台北市萬華區貴陽街二段,25.0年,大樓,38.13,21.38,2房2廳2衛,5樓/11樓,升降平面車位,1998,7024VJ
專任稀有百吉高樓有管理,台北市大安區延吉街,46.2年,華廈,44.33,37.6,3房2廳2衛,6樓/7樓,無車位,5138,3888AN
專任百吉管理附坡平車位,台北市大安區延吉街,46.2年,華廈,54.27,37.6,3房2廳2衛,6樓/7樓,坡道平面車位,5658,6889DD
仁愛臨沂靜巷獨棟美屋車位峻園,台北市中正區臨沂街,21.8年,華廈,46.18,23.8,2房2廳1衛,5樓/6樓,塔式車位,5588,0342AH
金華學區公寓２樓,台北市大安區師大路,57.9年,公寓,21.77,21.77,2房2廳1衛,2樓/4樓,無車位,2188,6178XF
美美華廈面綠意加車位文德好境,台北市內湖區陽光街,6.2年,華廈,20.16,10.87,1房1廳1衛1室,2樓/5樓,塔式車位,2080,3573UW
♠戀戀長安♠微風名宅豪邸戀戀長安,台北市中山區長安東路二段,18.0年,辦公/大樓,91.66,55.26,3房1廳2衛2室(含加蓋1室),2樓/15樓,坡道平面車位,8688,8572WG
天母綠景社區管理３房皇家別府,台北市北投區行義路,40.7年,華廈,40.69,32.42,3房2廳2衛,3樓/7樓,無車位,1980,8104RU
清江路稀有一樓,台北市北投區清江路,41.1年,公寓,35.18,30.57,4房2廳2衛,1樓/5樓,無車位,2388,7832SC
南京捷運電梯管理三房明華南京大廈,台北市松山區南京東路五段,45.8年,大樓,36.81,31.7,3房2廳2衛1室,4樓/12樓,無車位,2760,9519VN
敦南麗舍高樓邊間美廈敦南麗舍,台北市大安區信義路四段,36.0年,大樓/辦公,44.86,33.64,3房2廳2衛,12樓/12樓,無車位,5400,7360YZ
璞真永吉峰層豪景璞真永吉,台北市信義區永吉路,2.8年,大樓,91.93,42.23,4房2廳3衛,18樓/21樓,兩個以上車位,11500,9105XW
西門精美大四房榮耀鴻禧,台北市萬華區貴陽街二段,21.8年,大樓/辦公,53.96,39.95,4房2廳2衛,3樓/13樓,無車位,4500,8893CP
東湖商圈稀有兩房車位,台北市內湖區康樂街,31.4年,華廈,51.83,24.91,2房2廳2衛,3樓/8樓,坡道平面車位,2850,9749BL
天母揚名電梯３房天母揚名,台北市士林區德行東路,16.3年,華廈,43.53,23.41,3房2廳2衛,2樓/7樓,升降機械車位,3880,7755FJ
萬大ＯＮＥ珍藏金店面,台北市萬華區民和街,6.9年,店面/辦公/大樓,30.89,13.76,1廳1衛,1樓/13樓,坡道平面車位,2080,11841Y
忠孝東－首相綠意景觀豪邸宏綺首相,台北市中正區忠孝東路二段,17.4年,大樓,91.06,49.94,3房2廳2衛,6樓/14樓,坡道平面車位,12066,7940SM
【信義觀天】美妝風景宅,台北市信義區吳興街,31.6年,大樓,21.64,19.51,1房1廳1衛,13樓/17樓,無車位,2200,0925FV
大湖公園捷運－湖境一房湖邦貴族,台北市內湖區大湖山莊街,33.2年,華廈,21.11,8.99,1房1廳1衛,6樓/6樓,坡道平面車位,1248,4069TM
鄰近未來捷運晴川高樓層,台北市文山區木柵路三段,0.8年,大樓,65.92,35.13,4房2廳2衛,19樓/29樓,坡道平面車位,5888,5208CZ
正隆高樓景觀四房有車位,台北市中正區杭州南路一段,2.0年,大樓,72.54,39.9,4房2廳2衛,12樓/21樓,坡道平面車位,9988,1003BR
質感溫馨美美３房有車位美麗華大廈,台北市松山區民族東路,43.8年,華廈,53.96,31.31,3房2廳2衛,6樓/7樓,兩個以上車位,4380,0387NY
明耀商圈忠孝敦化雙併美廈,台北市大安區忠孝東路四段,46.3年,華廈,43.6,37.1,3房2廳2衛1室,2樓/7樓,無車位,4300,2323HZ
潭美學區露台面綠蔭邊間福頂京品,台北市內湖區南京東路六段,18.8年,大樓,27.92,18.64,2房2廳1衛,2樓/12樓,無車位,2980,9436HB
迪化商圈全新文青店辦大橋綻,台北市大同區延平北路二段,1.8年,店面,32.82,16.58,1廳1衛,1樓/9樓,其他,3890,9444KH
獨棟邊間黃金三樓衛浴開窗,台北市文山區木新路三段,51.1年,公寓,27.55,27.55,3房2廳1衛,3樓/4樓,無車位,1658,0853WX
北安電梯邊間明亮三房車位大直玉璽,台北市中山區北安路,27.5年,華廈,60.34,37.03,3房2廳2衛,4樓/5樓,升降平面車位,5480,4753QZ
內湖大面寬銀行保險業金店,台北市內湖區新明路,15.4年,店面/辦公/大樓,116.43,55.42,1廳2衛1室,1樓/14樓,兩個以上車位,9900,3834HP
南京捷運★面寬稀有金店面,台北市中山區遼寧街,53.0年,店面/辦公,12.64,10.93,2廳(含加蓋1廳),1樓/6樓,無車位,2550,37542Q
碧湖四房坡平車位濱湖王子,台北市內湖區內湖路二段,41.3年,華廈,58.23,32.19,4房2廳2衛,2樓/7樓,坡道平面車位,3500,10019H
稀有精美昇陽採光昇陽鵬城,台北市萬華區漢口街二段,8.0年,大樓,42.82,27.11,3房2廳2衛,6樓/15樓,無車位,3988,6054LK
久云日出美妝兩房日出,台北市南港區向陽路,1.9年,華廈,34.22,16.62,2房1廳1衛,9樓/10樓,坡道平面車位,3550,2168XN
星雲商圈綠蔭邊間三房壹樓,台北市內湖區康寧路一段,47.9年,公寓,22.93,20.08,3房2廳1.5衛(含加蓋0.5衛),1樓/4樓,無車位,1980,3543MX
大氣天成４房車位大氣天成,台北市內湖區成功路五段,15.7年,大樓,85.72,42.31,4房2廳2衛2室,4樓/11樓,升降平面車位,6680,6976HS
專任－介壽換電梯好選擇,台北市松山區民生東路五段,44.7年,華廈/辦公,33.31,30.04,3房2廳2衛1室(含加蓋1房),2樓/7樓,無車位,3150,8523XF
御和風｜捷運電梯三面採光御和風,台北市北投區中央南路一段,26.1年,華廈,34.39,26.24,1廳1衛,5樓/7樓,無車位,3188,7331MX
專任．捷運邊間方正二樓,台北市文山區萬隆街,43.9年,公寓,44.68,44.67,3房2廳2衛,2樓/5樓,無車位,2680,8257RK
中正國中傳家之寶傳家,台北市中正區羅斯福路一段,16.5年,大樓,130.24,94.28,4房2廳4衛2室,13樓/14樓,兩個以上車位,17588,8366DN
仁愛國館商業百坪店面仁愛三青,台北市大安區仁愛路四段,43.6年,店面/辦公/大樓,104.17,0,5房2廳2衛1室(含加蓋1房),-1樓/14樓,無車位,11800,8195QN
劍南捷運御學園３樓,台北市中山區北安路,37.0年,公寓,35.31,32.87,3房2廳2衛,3樓/5樓,無車位,2988,01687G
中山區捷運附近電梯三房,台北市中山區民權東路二段,41.6年,華廈,33.46,31.81,3房2廳2衛,5樓/7樓,無車位,2980,0799HR
正隆官邸吉祥好屋正隆官邸,台北市中正區杭州南路一段,2.0年,大樓,75.89,50.42,2房2廳2衛,2樓/22樓,無車位,11700,3267FK
匯泰高樓電梯大三房匯泰當代,台北市中山區長安西路,19.9年,大樓,47.32,32.75,3房2廳2衛,8樓/14樓,無車位,5000,1129HJ
大安名人巷＊愛貴園＊來來名人大樓,台北市大安區大安路一段,41.9年,華廈,73.93,58.4,1房2廳2衛3室,2樓/7樓,無車位,8500,9380LB
店長推薦松山新城介壽國中松山新城乙標第九...,台北市松山區光復北路,23.7年,大樓,33.69,20.96,2房2廳2衛,17樓/17樓,無車位,3850,2758QK
天母七段寧靜１樓,台北市士林區中山北路七段,46.7年,公寓,33,28.9,3房2廳2衛,1樓/5樓,無車位,3168,9302KQ
捷運富貴一起發三房電梯,台北市大同區歸綏街,37.5年,華廈,26.77,22.52,3房2廳2衛,2樓/10樓,無車位,2188,0078XZ
民權華廈三房美屋,台北市中山區民權東路二段,43.6年,華廈,34.49,29.03,3房2廳2衛,2樓/7樓,無車位,2899,7663KC
水美璞麗☆民權西路雙捷運水美璞麗,台北市中山區民權西路,12.9年,大樓,17.6,10.95,1房1廳1衛,7樓/14樓,無車位,1999,91824Q
內湖捷運面寬店辦,台北市內湖區成功路四段,30.7年,店面/辦公/大樓,37.3,26.21,2廳2衛,1樓/13樓,無車位,3880,2394YW
夏木漱石電梯三房車位夏木漱石-行雲區,台北市文山區政大二街,29.1年,大樓,46.86,27.39,3房2廳2衛,8樓/16樓,坡道平面車位,2250,64914M
東門永康麗水大面寬金店,台北市大安區麗水街,55.7年,公寓/店面,29.74,29.74,2廳2衛,1樓/4樓,無車位,6958,3161CN
★安和全新美裝美宅４樓,台北市大安區安和路二段,0.4年,華廈,14.18,8.57,1房1廳1衛,4樓/5樓,無車位,2330,9338SQ
遠企安和美裝潢新成屋,台北市大安區安和路二段,0.4年,華廈,17.13,10.35,2房1廳1衛,4樓/5樓,無車位,2860,6009DT
安和新成屋毛胚含美裝３樓,台北市大安區安和路二段,0.4年,華廈,17.13,10.35,1衛,3樓/5樓,無車位,2800,4768ZU
中華路電梯四房有中庭管理愛家親子,台北市萬華區中華路二段,36.2年,大樓,46.84,44.79,4房2廳2衛,2樓/14樓,無車位,3300,5010GM
民生靜巷大面採光朝南３房,台北市松山區三民路,51.1年,公寓,37.02,37.03,3房2廳2衛1室,3樓/4樓,無車位,3299,1276BJ
大湖澄品小坪數稀有釋出大湖澄品,台北市內湖區康樂街,17.5年,大樓,12.68,8.58,1房1廳1衛,6樓/11樓,無車位,1100,4745LS
大同璽苑稀有７１坪型大同璽苑,台北市南港區經貿二路,11.6年,大樓,85.51,47,4房2廳2衛2室,4樓/18樓,坡道平面車位,9288,7227PY
延吉三角窗面寬店辦附車位,台北市大安區延吉街,38.5年,店面/辦公,75.16,51.33,1房3廳2衛,2樓/7樓,兩個以上車位,8500,7060UX
華熊營造松江御苑,台北市中山區建國北路二段,3.0年,大樓,71.89,39.81,3房2廳2衛,4樓/15樓,坡道平面車位,8500,4082FS
健康學區一樓使用大空間,台北市松山區三民路,51.8年,公寓,25.8,22.42,3房3廳1衛1室(含加蓋1廳1室),1樓/4樓,無車位,3180,4952HJ
八德明亮採光大公寓,台北市中山區八德路二段,49.6年,公寓,55.25,55.25,4房2廳4衛1室(含加蓋1房1衛1室),4樓/4樓,無車位,4500,3495PQ
古亭金華國中師大露台戶師大Window...,台北市大安區羅斯福路二段,18.4年,套房,13.52,9.15,1房1廳1衛1室,5樓/5樓,無車位,2092,5381DY
正民生東路上燙金面寬金店,台北市松山區民生東路五段,52.8年,店面/公寓,31.52,31.52,3房1廳2衛1室(含加蓋1衛1室),1樓/4樓,無車位,5980,5922VM
歡迎網路預約●鄉林玉川,台北市北投區溫泉路,11.1年,華廈,96.28,44.55,1廳,4樓/5樓,兩個以上車位,5788,64532L
鄉林玉川●歡迎網路預約,台北市北投區溫泉路,11.1年,華廈,96.28,44.55,1廳,5樓/5樓,兩個以上車位,5788,95099N
近北車新光三越８０米金面,台北市中正區開封街一段,37.0年,店面,92.23,41.5,1廳2衛(含加蓋2衛),1樓/12樓,無車位,9888,95681B
松江南京雙捷整層純辦大樓華聯大廈,台北市中山區南京東路二段,53.3年,辦公/大樓,190.49,187.74,5廳3衛13室,4樓/11樓,無車位,19800,71021F
市府捷運兩房車位信義璞緻,台北市信義區永吉路,15.7年,華廈,34.99,19.68,2房2廳1衛,6樓/6樓,塔式車位,4158,9123DX
專任近忠孝復興捷運小資屋怡暉大廈,台北市大安區復興南路一段,40.9年,辦公/大樓,8.4,7.03,1廳1衛,4樓/12樓,無車位,1168,2317QT
珠寶盒發發發捷運美三房,台北市中山區農安街,46.5年,華廈,24.33,16.88,3房2廳1衛,10樓/10樓,無車位,2088,6381KX
南港巴黎春天自在生活巴黎春天,台北市南港區南深路,26.6年,華廈,17.78,12.54,1房1廳1衛,3樓/10樓,無車位,1100,3195KX
政大雙主臥帝王景觀戶政大大師,台北市文山區政大二街,12.2年,華廈,71.03,40.05,3房2廳3衛1室,4樓/5樓,坡道平面車位,3488,8885PN
七段勤和樹景質感電梯兩房勤和名廈,台北市士林區中山北路七段,40.3年,華廈,31.7,27.47,2房2廳2衛1室,5樓/7樓,無車位,2780,5955VC
復興微風百貨旁正馬金店面,台北市松山區復興南路一段,52.4年,店面/公寓,20.57,16.25,1廳1衛2室(含加蓋2室),1樓/4樓,無車位,5988,8536QN
東湖市場住商宅,台北市內湖區五分街,48.3年,公寓,28.56,28.56,4房1廳1衛,3樓/4樓,無車位,1499,4899PR
景美捷運精美電梯大空間,台北市文山區景福街,42.7年,華廈,38.54,33.06,5房4廳3衛(含加蓋2房2廳2衛),7樓/7樓,無車位,4688,5156RM
天東全新電梯大三房車位,台北市士林區天母東路,1.4年,大樓,47.19,28.08,3房2廳2衛,6樓/12樓,塔式車位,4498,8263SY
松山路公寓二樓,台北市信義區松山路,57.0年,公寓,24.9,24.9,2房2廳1衛,2樓/4樓,無車位,2156,8622LW
寧夏夜市收租置產金店,台北市大同區太原路,12.6年,店面,23.62,9.31,1房2廳1衛,1樓/12樓,塔式車位,3500,8487DQ
北車雙子星４房電梯大空間,台北市大同區貴德街,46.1年,華廈/辦公,53.66,46.28,4房2廳3衛,6樓/7樓,無車位,3990,7704MJ
”金塊”聽濤邊間環山泳池聽濤園,台北市北投區行義路,44.4年,華廈,78.55,49.03,3房2廳2衛,1樓/7樓,坡道平面車位,2999,37964N
環山狀元城稀有管理公寓,台北市內湖區環山路二段,40.8年,公寓,28.59,25.49,4房3廳3衛(含加蓋1房1廳1衛),5樓/5樓,無車位,2258,2358CG
師大金華龍門設籍美廈師大大師,台北市大安區泰順街,17.8年,華廈,9.93,5.97,1房1廳1衛,3樓/6樓,無車位,1669,8724JL
興隆美寓大空間,台北市文山區興隆路三段,46.3年,公寓,34.45,34.45,5房4廳3衛(含加蓋2房2廳1衛),5樓/5樓,無車位,1650,0491LL
奇岩雲端三樓附坡平大車位H24雲端,台北市北投區中央南路二段,10.1年,辦公/大樓,25.57,10.02,1廳1衛,3樓/19樓,坡道平面車位,1399,0892XL
新★華固松疆景觀大器豪邸,台北市中山區松江路,11.2年,大樓,132.18,68.9,3房2廳3衛,6樓/21樓,兩個以上車位,14600,2200BS
富御長安微風有景觀富御,台北市中山區長安東路二段,13.5年,辦公/大樓,51.72,37.06,3房2廳2衛,13樓/15樓,升降機械車位,6600,2631ND
★安和毛胚美宅３樓,台北市大安區安和路二段,0.4年,華廈,14.18,8.57,1衛,3樓/5樓,無車位,2280,4818YU
稀有捷運旁電梯三房華廈,台北市北投區中央北路三段,30.7年,華廈,36.24,26.41,3房2廳2衛,3樓/7樓,坡道機械車位,2480,9508LC
世貿新城時尚雅居世貿新城-甲乙丙...,台北市信義區松智路,27.5年,大樓,50.44,28.08,2房2廳2衛,3樓/13樓,坡道平面車位,5988,0620YK
【禾碩樹晴】電梯坡平車位,台北市北投區磺港路,0.3年,大樓,53.58,30.67,2房2廳2衛,2樓/15樓,坡道平面車位,4800,9492NL
大湖公園捷運－湖境雅寓湖邦貴族,台北市內湖區大湖山莊街,33.2年,華廈,12.35,8.99,1房1廳1衛,6樓/6樓,無車位,1028,9601PC
北醫美妝邊間大三房,台北市信義區吳興街,40.7年,公寓,36.64,33.94,4房2廳3衛(含加蓋1房1衛),5樓/5樓,無車位,2380,5199AF
基泰國際景觀名邸二房車位,台北市信義區基隆路二段,15.1年,大樓,51.31,22.17,2房2廳2衛1室,10樓/15樓,坡道平面車位,4798,6373FT
東湖地點方便正點三樓！,台北市內湖區東湖路,46.1年,公寓,28.19,28.19,3房2廳1衛,3樓/4樓,無車位,1588,7587JD
敦南陸裝邊間三房名邸陸裝新城,台北市大安區敦化南路二段,40.5年,大樓,41.66,28.55,3房2廳2衛,8樓/19樓,無車位,4180,1137GW
《請進天母》雙溪河景宅,台北市士林區雙溪街,41.5年,華廈,119.37,98.13,6房2廳5衛1室(含加蓋1衛),7樓/7樓,坡道平面車位,7380,4991JU
大巨蛋無印極品美屋之星,台北市大安區延吉街,40.0年,華廈,43.6,42.87,4房2廳3衛1室,2樓/7樓,無車位,5388,8031VQ
❤️仁愛悠靜珍藏大璽❤️,台北市中正區臨沂街,14.2年,華廈,80.26,45.23,3房2廳3衛,5樓/7樓,兩個以上車位,8800,6888RY
【康莊】近捷運三代同堂康莊(政校後勤區...,台北市北投區中央北路二段,10.2年,大樓,66.86,40.03,4房2廳2衛,7樓/14樓,坡道平面車位,4180,1114GP
敦南ＬＡＶＩＥ四房大車位,台北市大安區敦化南路一段,5.1年,大樓,68.09,33.9,4房2廳2衛,6樓/14樓,坡道平面車位,9868,2057LT
忠孝新生泰安官址林蔭美邸泰安觀止,台北市中正區泰安街,19.7年,大樓,122.45,55.96,4房2廳2衛2室(含加蓋1房),5樓/11樓,兩個以上車位,13500,0581LN
⭐晶麒鋼骨方正美宅,台北市萬華區康定路,9.5年,大樓,15.77,10.01,1房1廳1衛,6樓/26樓,無車位,1528,4228AP
京王朝北景觀豪邸,台北市大同區承德路一段,3.0年,大樓,83.04,44.89,3房2廳4衛1室,16樓/32樓,坡道平面車位,11000,4305JU
大安延吉典雅美宅,台北市大安區延吉街,53.9年,公寓,24.68,24.68,3房2廳2衛,4樓/4樓,無車位,2688,4452JP
瑞安靜巷純住明亮２房車位,台北市大安區瑞安街,10.4年,華廈,23.55,10.72,2房2廳1衛,7樓/7樓,其他,3320,2953BW
潤泰高樓河景三房豪邸,台北市萬華區德昌街,14.7年,大樓,78.85,36.51,3房2廳2衛1室,23樓/23樓,兩個以上車位,6888,3923ZD
【新接】丰藝夏宮捷運豪邸,台北市信義區福德街,13.5年,大樓,117.28,48.82,2廳,4樓/13樓,兩個以上車位,11706,1604UN
富錦街華廈面公園景觀中泰華廈,台北市松山區新中街,47.0年,華廈,50.25,40.1,3房2廳2衛,5樓/7樓,無車位,4998,8841WL
專任明水四季高樓層面中庭明水四季,台北市中山區明水路,17.6年,辦公/大樓,18.06,10.95,2房1廳1衛,7樓/12樓,無車位,1988,3067NY
★義豐庭★全新裝潢大四房,台北市士林區中山北路七段,45.7年,華廈,51.44,50.41,4房2廳2衛,4樓/7樓,無車位,3380,5474ND
民權精美公寓三房,台北市內湖區民權東路六段,41.7年,公寓,30.82,28.25,3房2廳2衛,5樓/5樓,無車位,1758,3377YG
中華路近未來捷運高樓電梯,台北市中正區中華路二段,40.7年,華廈,52.33,43.99,5房2廳3衛,7樓/7樓,無車位,3628,6552JM
信義計畫新川普溫馨美屋新川普,台北市信義區信義路五段,16.3年,大樓,25.37,9.17,1房1廳1衛,7樓/19樓,坡道平面車位,2180,0032KF
【ＶＲ】元首大道四房車位,台北市文山區羅斯福路六段,2.8年,大樓,93.83,40.14,4房2廳2衛,11樓/18樓,兩個以上車位,7666,7789ND
大庭園挑高４＋１房,台北市信義區吳興街,33.2年,大樓,45.54,35.01,4房2廳2衛1室,1樓/11樓,無車位,2950,2382FS
品陽大苑植物園景觀帝王戶,台北市中正區三元街,預售,大樓,57.85,30.84,3房2廳2衛,19樓/21樓,坡道平面車位,6790,3870QT
店長推薦華固松疆豪邸,台北市中山區松江路,11.2年,大樓,132.02,68.9,3房2廳3衛,2樓/21樓,兩個以上車位,13000,8744BT
藍山獨棟華廈大空間,台北市北投區復興一路,11.6年,華廈,60.99,31.96,4房2廳2衛3室(含加蓋3室),1樓/5樓,坡道機械車位,4480,0323XQ
青田一樓☆置產☆店辦,台北市大安區青田街,40.2年,華廈,38.34,18.28,2廳1衛1室(含加蓋1廳1衛1室),1樓/7樓,無車位,3750,0880XK
誠售中山北路穩定收租,台北市中山區中山北路一段,46.4年,店面/辦公,79.26,42.01,2廳4衛5室,B1-1樓/5樓,無車位,6060,56404X
雙敦低總價電梯兩房,台北市松山區延吉街,42.3年,華廈,23.12,20.73,2房2廳1衛,3樓/7樓,無車位,2250,55711L
採光美屋出站即到家奧斯町,台北市中正區羅斯福路二段,21.9年,大樓/辦公,11.76,7.91,1房1廳1衛,6樓/15樓,無車位,1518,6131MN
獨家●健安新城美裝潢好屋健安新城A區,台北市松山區三民路,18.8年,大樓,60.72,35.08,2房2廳2衛1室,3樓/13樓,坡道平面車位,5880,9735NT
耐震鋼骨耕隱單層大戶,台北市士林區忠誠路二段,4.7年,大樓,119.49,57.54,5房2廳2衛1室,4樓/12樓,兩個以上車位,13058,8422MD
店長推薦！安沐居美景高樓,台北市大安區復興南路二段,2.7年,大樓,24.66,15.52,1房2廳1衛,24樓/34樓,無車位,4788,1327TS
【專任】低總價鋼骨美宅,台北市萬華區康定路,9.5年,大樓,16.24,10.27,1房1廳1衛,3樓/26樓,無車位,1280,0935KL
國賓伊頓邊間三房,台北市文山區政大一街,10.9年,華廈,49.39,26.49,3房2廳2衛,5樓/5樓,坡道平面車位,3288,2940NR
近國泰醫院國館學區三房,台北市大安區光復南路,38.2年,大樓/辦公,34.5,26.79,3房2廳2衛,9樓/12樓,無車位,3688,5750MF
擎天森林邊間綠意三房車位,台北市南港區興南街,0.8年,大樓,44.81,25.53,3房2廳2衛,3樓/26樓,坡道平面車位,4650,8226AA
【專任】信義靜巷邊間好宅,台北市信義區吳興街,36.5年,公寓,37.21,30.22,3房2廳2衛,5樓/5樓,無車位,2480,1572FL
凌雲五村★面中庭凌雲五村,台北市南港區研究院路三段,21.9年,華廈,48.25,29.7,3房2廳2衛1室,4樓/9樓,坡道平面車位,2800,0850SF
合江街邊間三房美寓,台北市中山區合江街,55.0年,公寓,22.95,22.95,3房2廳1衛,3樓/4樓,無車位,2080,4641YH
湖畔庭園２樓稀有釋出湖畔庭園,台北市內湖區大湖山莊街,38.3年,公寓,30.12,27.22,3房2廳2衛,2樓/5樓,無車位,2028,6838LU
☆華山綠蔭成家大四房☆,台北市中山區林森北路,48.9年,華廈,58.2,58.21,4房2廳2衛2室,4樓/7樓,無車位,4168,1018XX
金三角窗△碧山市場店面,台北市內湖區內湖路三段,43.8年,店面,14.32,8,1廳1衛1室(含加蓋1室),1樓/5樓,無車位,1288,3327KF
長沙貴陽康定圓環黃金店面新碩鼎和,台北市萬華區長沙街二段,6.6年,店面/辦公,108.28,38.28,2廳2衛,1-2樓/18樓,兩個以上車位,8600,00619G
玉成街二樓三房,台北市南港區玉成街,46.3年,公寓,30.76,27.08,3房2廳2衛1室,2樓/5樓,無車位,2680,6882KR
裝潢美寓一卡皮箱入住,台北市內湖區港華街,45.3年,公寓,35.84,35.84,3房2廳3衛,4樓/5樓,無車位,2398,6715WY
雙連★靜巷庭院一樓,台北市大同區重慶北路二段,25.9年,華廈,32.28,24.65,3房2廳2衛(含加蓋1廳1衛),1樓/6樓,無車位,3980,4669NQ
明德榮華電梯三房,台北市北投區榮華一路,47.5年,華廈,37.37,33.35,3房2廳2衛,2樓/7樓,無車位,3280,6299NB
南寧方正電梯三房,台北市萬華區南寧路,36.8年,大樓,37.17,31.32,3房2廳2衛,2樓/12樓,無車位,2780,1086VD
北投大大大三房,台北市北投區清江路,42.1年,公寓,34.91,34.92,3房2廳2衛,4樓/5樓,無車位,1988,6291CX
天母美洲名廈,台北市士林區德行東路,37.9年,華廈,58,52.34,3房2廳2衛2室,2樓/5樓,無車位,4380,3130TB
信義區地點好公寓三樓,台北市信義區吳興街,48.6年,公寓,44.94,44.93,4房2廳2衛1室,3樓/4樓,無車位,3180,1697LD
民生朝南高樓層美景三房建成花園大樓,台北市松山區民生東路五段,36.3年,大樓,36.31,29.42,3房2廳2衛,16樓/20樓,無車位,3260,0343TK
稀少釋出閱讀中研高樓層,台北市南港區舊莊街一段,1.4年,大樓,42.68,18.84,2房2廳1衛,12樓/15樓,坡道平面車位,3290,2367GW
質感優雅十六行館十六行館,台北市北投區行義路,17.0年,華廈,92.93,49.7,3房2廳3衛,4樓/5樓,兩個以上車位,5800,2594JK
遠眺山景高樓四房,台北市萬華區開封街二段,16.6年,大樓,57.34,34.75,4房2廳2衛,10樓/12樓,升降機械車位,5900,2766ZX
大直美景面公園PARK608,台北市中山區北安路,19.4年,大樓,101.44,46.98,4房2廳3衛1室(含加蓋1房),6樓/14樓,兩個以上車位,11928,2095KV
捷運學區三房二樓,台北市文山區萬盛街,48.7年,公寓,23.2,23.2,3房2廳1衛,2樓/4樓,無車位,1808,7877BK
店長推薦－邊間公寓美屋,台北市中正區重慶南路三段,49.4年,公寓,38.37,38.37,3房2廳2衛,3樓/4樓,無車位,2880,1440HF
明日博世田谷明日博,台北市大安區市民大道三段,9.7年,大樓,97.31,53.69,4房2廳3衛,11樓/23樓,兩個以上車位,12880,19185S
