標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號
好運開松山捷運２房車位松河大美,台北市松山區松河街,10.5年,大樓/辦公,32.62,17.62,2房2廳1衛,2樓/15樓,其他,3280,4741QR
士林仰格電梯三房車位,台北市士林區中山北路五段,1.4年,大樓,74.79,38.94,3房2廳2衛,6樓/17樓,坡道平面車位,6488,11595F
東湖國中旁樂活電梯三房,台北市內湖區康樂街,31.3年,華廈,35.9,25.07,3房2廳2衛,4樓/7樓,無車位,2500,7681SF
雙捷運綠帶低公設電梯美居,台北市中山區中山北路二段,44.1年,辦公/華廈,37.54,35.67,1房2廳1衛,2樓/7樓,無車位,3390,8904ZP
大東門耕玉花園林蔭,台北市中正區連雲街,1.5年,大樓,63.28,33.51,3房2廳2衛1室,3樓/13樓,坡道平面車位,9750,1387PX
⭐西門華御。美妝兩房車位,台北市萬華區貴陽街二段,2.6年,大樓,28.01,16.32,2房2廳1衛,2樓/14樓,塔式車位,2980,0670ZK
璞山鄰景觀名宅璞園璞山鄰,台北市內湖區內湖路一段,13.8年,大樓,80.22,43.5,3房2廳2衛,6樓/14樓,坡道平面車位,6998,9891VK
常春藤河景三房附車位常春藤,台北市文山區樟新街,31.9年,大樓,59.9,36.53,3房2廳2衛,7樓/11樓,坡道平面車位,3200,7790SF
綠樹成蔭．陽光花束,台北市內湖區陽光街,42.3年,公寓,24.71,21.89,3房2廳1衛1室,1樓/5樓,無車位,2400,6950AM
元利台大公館挑高一樓,台北市文山區溪洲街,1.6年,大樓,45.26,21.62,1房2廳1衛,1樓/15樓,坡道平面車位,3588,9705DY
試院路稀有一樓大空間,台北市文山區試院路,39.7年,公寓,43.02,36.71,7房2廳2衛,1樓/5樓,無車位,1900,0127RD
廣慈福德靜巷公寓一樓大戶,台北市南港區福德街,48.4年,公寓,28.44,26.14,5房4廳2.5衛1室(含加蓋2房1廳2.5衛1室),1樓/4樓,無車位,2514,1380AM
誠售明水四季綠意滿窗明水四季,台北市中山區明水路,17.6年,辦公/大樓,22.74,10.77,1廳1衛2室,4樓/12樓,坡道機械車位,2100,0724YT
「開闊大器」松江質感一樓,台北市中山區松江路,57.4年,店面/公寓,36.82,36.82,1廳1衛,1樓/4樓,無車位,3980,0508LW
專約富特科技辦公,台北市內湖區行愛路,23.8年,辦公,186.83,84.1,2廳5室,2樓/5樓,兩個以上車位,7450,7723RZ
大安近捷運稀有小坪數公寓,台北市大安區通化街,48.1年,公寓,12.61,12.61,2房2廳1衛(含加蓋1廳),5樓/5樓,無車位,1550,57312F
正馬路★各行各業大店辦金門大廈,台北市中正區師大路,43.8年,店面/辦公/大樓,109.83,45.86,1廳1衛1室,1樓/12樓,兩個以上車位,5800,2499TK
圓山河景１０１大戶圓山仰望,台北市大同區通河西街一段,16.4年,大樓,158.69,86.79,5房3廳6衛,11樓/15樓,兩個以上車位,10788,8976KV
圓山河景１０１圓山仰望,台北市大同區通河西街一段,16.4年,大樓,82.6,45.78,2房2廳3衛,11樓/15樓,兩個以上車位,5600,2555HP
～全新裝潢阿曼風尚～,台北市中山區民生東路一段,18.0年,套房/華廈,11.82,6.57,1房1廳1衛,2樓/8樓,無車位,1188,0702BN
⭐美妝收租自用兩相宜⭐,台北市中山區龍江路,47.9年,公寓,34.66,34.66,5房4廳4衛,5樓/5樓,無車位,2388,7825PG
【西門捷運】高樓美套房,台北市萬華區長沙街二段,44.9年,大樓/套房,8.58,6.74,1房1廳1衛,11樓/11樓,無車位,698,8023ZW
靜心集★邊間精品兩房美屋靜心集,台北市文山區辛亥路五段,8.1年,華廈,27.28,13,2房2廳1衛(含加蓋1房),2樓/9樓,升降機械車位,1998,5476NF
太子東都頂樓戶太子東都,台北市信義區松山路,38.3年,大樓,38.2,29.48,5房3廳3衛(含加蓋2房1廳1衛),16樓/16樓,無車位,4480,9007TH
近台電捷運一樓土持多,台北市中正區汀州路三段,53.0年,公寓/辦公,32.29,32.29,7房1廳5衛(含加蓋1衛),1樓/4樓,無車位,3998,4891RK
景華街住辦便捷一樓,台北市文山區景華街,45.7年,公寓,26.61,19.21,5房3廳2衛(含加蓋2房1廳),1樓/5樓,無車位,2098,2056HU
美妝文華高樓望校園中山文華,台北市大同區承德路二段,8.0年,大樓,50.69,31.56,3房2廳2衛2室,9樓/18樓,坡道機械車位,5855,1614GR
中正國中電梯四房東門珍第,台北市中正區金山南路一段,15.6年,大樓,64.51,37.29,4房2廳2衛,7樓/11樓,兩個以上車位,9800,9182GW
東湖捷運採光地點好公寓,台北市內湖區五分街,43.3年,公寓,31.15,31.15,2房2廳1衛,5樓/5樓,無車位,1680,0314WC
①Ｗ１１０璞石麗緻附車位W110,台北市信義區光復南路,17.1年,大樓,33.27,16.87,1廳1衛,6樓/18樓,坡道平面車位,3580,9442LH
最大直可安排看屋,台北市中山區明水路,預售,大樓,50.15,25.93,3房2廳2衛,10樓/25樓,坡道平面車位,6480,3864KK
【專任】挑高低總價加車位I-COME,台北市內湖區南京東路六段,17.5年,其它,23.75,7.88,1房1廳1衛,2樓/12樓,坡道平面車位,1360,70966D
吉美富徠瑞安高樓景觀,台北市大安區瑞安街,1.4年,大樓,95.87,47.44,2廳3衛,10樓/21樓,兩個以上車位,14300,2543YC
近榮星花園面寬黃金二樓,台北市中山區合江街,52.4年,公寓,32.88,29.36,1房2廳2衛,2樓/4樓,無車位,2760,3166HF
捷運中山國中邊間金賞敦北金賞,台北市中山區龍江路,25.6年,華廈/辦公,10.17,6.57,1房1廳1衛,4樓/8樓,無車位,1398,4159LB
民生社區靜巷四房大空間,台北市松山區三民路,51.1年,公寓,37.02,37.03,4房2廳2衛,4樓/4樓,無車位,3150,9115WD
屋主再降價誠售價可談,台北市北投區復興一路,31.3年,華廈,31.91,18.93,3房2廳1.5衛(含加蓋0.5衛),3樓/6樓,坡道平面車位,1730,9026GG
科技捷運電梯三房成功國宅27~2...,台北市大安區和平東路二段,40.4年,大樓,38.44,29.61,3房2廳2衛,6樓/17樓,無車位,3650,2297RT
誠售大巨蛋８米巷１樓店辦,台北市大安區光復南路,44.6年,店面/辦公,36.93,27.34,2房2廳1衛1室,1樓/7樓,無車位,5980,7358VZ
屋況佳●近麟光捷運２樓,台北市信義區和平東路三段,52.8年,公寓,13.87,13.86,2房1廳1衛1室,2樓/4樓,無車位,1380,9785HB
★樸園日兆★５房１層１戶樸園日兆,台北市北投區東華街一段,19.2年,大樓,111.85,50.32,5房2廳3衛2室(含加蓋1室),5樓/14樓,兩個以上車位,8800,5818DP
小巨蛋實實在在住辦,台北市松山區南京東路四段,48.2年,大樓/辦公,26.15,26.15,1房2廳1衛,5樓/12樓,無車位,3200,5551RR
高樓三房面１０１大車位東方世家,台北市信義區光復南路,41.7年,大樓,55.78,34.11,3房2廳2衛1室,7樓/12樓,坡道平面車位,4500,4122FH
㊝鼎真麗澤尊池雙車位藏品麗澤,台北市士林區中山北路六段,16.8年,華廈,95.07,48.85,4房2廳2衛2室,3樓/9樓,兩個以上車位,7980,3850AT
✿✿士林電梯三房✿✿忠誠國宅,台北市士林區中正路,42.0年,大樓,40.52,31.88,3房2廳2衛,5樓/12樓,無車位,2200,0858JV
降價｜次頂樓景觀電梯四房皇宮綠園,台北市北投區稻香路,46.4年,華廈,44.07,41.64,4房2廳2衛1室,6樓/7樓,無車位,1499,9685VT
安泰街邊間創意３房低總價,台北市內湖區安泰街,45.1年,公寓,29.39,29.4,3房2廳1衛,4樓/5樓,無車位,1400,6588VP
金華龍門綠蔭四房車位可買泰順雅筑,台北市大安區泰順街,44.3年,華廈,48.95,43.7,4房2廳2衛1室,6樓/7樓,無車位,4880,3228KJ
圓山河景第一排圓山仰望,台北市大同區通河西街一段,16.4年,大樓,76.09,41.02,3房2廳3衛,11樓/15樓,兩個以上車位,5188,1043UW
靜謐清幽住辦兩用,台北市大安區羅斯福路四段,38.8年,辦公/華廈,61.52,32.35,3房2廳1衛,1樓/7樓,坡道平面車位,4888,9621NT
大安捷運附中壹樓,台北市大安區信義路三段,51.2年,公寓/店面,21.77,21.77,3房2廳2衛(含加蓋1廳1衛),1樓/4樓,無車位,4800,8649VT
【商辦】信義世貿核心地標永興大樓,台北市信義區基隆路二段,31.0年,辦公/大樓,59.9,46.3,1廳,3樓/12樓,無車位,5500,7242PM
拓真精緻美三房＋坡平車位,台北市文山區興隆路三段,5.7年,大樓,41.75,19.49,3房2廳1衛,5樓/14樓,坡道平面車位,3998,1457UF
觀星台北明亮高樓景觀居觀星台北,台北市文山區木柵路二段,29.0年,大樓,34.38,22.8,3房2廳1.5衛,12樓/17樓,坡道機械車位,1988,7001VN
