標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
樂活小築電梯公寓,金門縣金沙鎮沙東劃,8.6年,華廈,20.7,16.37,2房2衛,3樓/0樓,無車位,398,ZS192503HB,2025-10-02 20:19:39
金城三房優質公寓,金門縣金城鎮山前,10.8年,公寓,28.24,23.51,3房1廳2衛,3樓/0樓,無車位,750,ZS190619HB,2025-10-02 20:19:39
湖下精美海景透天,金門縣金寧鄉湖下村測,2.8年,別墅/透天,48.95,48.95,4房5廳2衛,1-3樓/0樓,無車位,1,ZS197433HB,2025-10-02 20:19:39
金湖優質臨路農地,金門縣金湖鎮新頭,,土地,277.93,,,0樓/0樓,無車位,1,ZS192845HB,2025-10-02 20:19:39
金湖國小透天店面,金門縣金湖鎮山外街,40.9年,店面,31.35,31.35,4房1廳2衛,1-3樓/3樓,無車位,998,YS113455HB,2025-10-02 20:19:48
內洋大建地,金門縣金沙鎮大洋,,土地,265.9,,,0樓/0樓,無車位,1,XS112178HB,2025-10-02 20:19:48
金城市區電梯兩房美寓,金門縣金城鎮莒光路,3.5年,華廈,25.55,18.65,2房1廳2衛,1-5樓/0樓,無車位,780,XS122818HB,2025-10-02 20:19:48
金沙高陽斗門段農地B,金門縣金沙鎮蔡厝劃測段,,土地,296.9,,,0樓/0樓,無車位,520,ZS196411HB,2025-10-02 20:19:48
溪邊環東美地A,金門縣金湖鎮太湖劃測段,,土地,195.52,,,0樓/0樓,無車位,199,ZS193633HB,2025-10-02 20:19:48
北山三角窗農地,金門縣金寧鄉寧古,,土地,151.25,,,0樓/0樓,無車位,238,XS104009HB,2025-10-02 20:19:48
獨家專任約  金湖鎮庵邊段,金門縣金湖鎮東村,,土地,161.84,,,0樓/0樓,無車位,938,XB07588GH,2025-10-02 20:19:48
樂活小築兩房公寓,金門縣金沙鎮沙東劃,8.6年,其它,19.22,14.89,2房2衛,1樓/0樓,無車位,420,XS128255HB,2025-10-02 20:19:48
庵邊臨路美建地,金門縣金湖鎮庵邊段,,土地,165.79,,,0樓/0樓,無車位,1,ZS193073HB,2025-10-02 20:19:48
金湖鎮黃海路旁建地,金門縣金湖鎮士校段,,土地,1058.75,,,0樓/0樓,無車位,9,XB07625GH,2025-10-02 20:19:48
近高陽路農地,金門縣金沙鎮沙溪一劃段,,土地,142.23,,,0樓/0樓,無車位,300,S2467718PA,2025-10-02 20:19:48
下埔下一樓挑高公寓,金門縣金寧鄉下埔下,12.8年,公寓,33.66,28,3房2廳3衛,1樓/3樓,無車位,920,S2629094PA,2025-10-02 20:19:48
頂埔下電梯套房,金門縣金寧鄉頂埔下,9.7年,其它,10.62,6.88,1房1廳1衛,2樓/3樓,無車位,338,S2636509PA,2025-10-02 20:19:48
泰山買房賣屋金沙鎮置產美地,金門縣金沙鎮沙田劃段,,土地,239.28,,,0樓/0樓,無車位,718,S2885404PA,2025-10-02 20:19:48
金寧鄉頂堡建地,金門縣金寧鄉盤山村測段,,土地,39.34,,,0樓/0樓,無車位,586,S2223762PA,2025-10-02 20:19:48
水頭段「高粱田」農地II,金門縣金城鎮水頭段,,土地,246.69,,,0樓/0樓,無車位,668,1830661CT,2025-10-02 20:19:48
金寧鄉伯玉路農地A,金門縣金寧鄉中三劃測段,,土地,217.82,,,0樓/0樓,無車位,1,S2218729PA,2025-10-02 20:19:48
金城鎮歐厝國家公園土地出售,金門縣金城鎮歐厝,,土地,799.28,,,0樓/0樓,無車位,6,S2149150PA,2025-10-02 20:19:48
瓊林農建地,金門縣金湖鎮中四劃段,,土地,292.52,,,0樓/0樓,無車位,2,S2355139PA,2025-10-02 20:19:48
金沙絕美觀海建地,金門縣金沙鎮浦邊測段,,土地,108.05,,,0樓/0樓,無車位,680,S2410928PA,2025-10-02 20:19:48
蜈蚣山段農地,金門縣金城鎮蜈蚣山段,,土地,144.11,,,0樓/0樓,無車位,118,1830564CT,2025-10-02 20:19:57
水頭段「高粱田」農地I,金門縣金城鎮水頭段,,土地,142.64,,,0樓/0樓,無車位,388,1830624CT,2025-10-02 20:19:57
小西門農地,金門縣金城鎮金城鎮,,土地,226.88,,,0樓/0樓,無車位,630,YS95189HB,2025-10-02 20:19:57
金沙鎮近沙青路農地,金門縣金沙鎮北九劃段,,土地,302.5,,,0樓/0樓,無車位,488,S2579623PA,2025-10-02 20:19:57
金門金城自然村66坪方正建地,金門縣金城鎮前水頭測段,,土地,66.25,,,0樓/0樓,無車位,606,S2426733PA,2025-10-02 20:19:57
金城賢庵國小旁店面公寓,金門縣金城鎮庵前劃測段,9.7年,公寓,31.29,29.01,1房2廳1衛,1樓/3樓,其他,1,S1984953PA,2025-10-02 20:19:57
獨家銷售金門縣烈嶼鄉公所旁建地,金門縣烈嶼鄉烈新段,,土地,94.41,,,0樓/0樓,無車位,1,2032624CT,2025-10-02 20:19:57
水頭段「西海路茅山搭」農地,金門縣金城鎮水頭段,,土地,114.32,,,0樓/0樓,無車位,118,1830761CT,2025-10-02 20:19:57
金沙鎮后水頭農地,金門縣金沙鎮沙溪一劃段,,土地,272.88,,,0樓/0樓,無車位,598,S2451668PA,2025-10-02 20:19:57
東洲盈春閣農地,金門縣金寧鄉東州,,土地,386.35,,,0樓/0樓,無車位,1,YS104225HB,2025-10-02 20:19:57
