標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
美術館精緻優質兩房京城米羅,高雄市鼓山區美術東八街,22.1年,大樓,25.08,17.17,2房2廳1衛,14樓/14樓,無車位,1,9526TC,2025-10-01 15:19:30
心灣ＬＲＴ．高樓兩房車位心灣LRT,高雄市前鎮區育群街,4.9年,大樓,27.76,14.41,2房2廳1衛,8樓/15樓,坡道機械車位,1,31717W,2025-10-01 15:19:30
農十六亞歷山大稀有美兩房亞歷山大,高雄市鼓山區裕國街,20.1年,大樓,24.72,17.49,2房2廳1衛,4樓/14樓,無車位,1,6863MD,2025-10-01 15:19:30
巨蛋近瑞豐夜市高樓輕豪邸,高雄市左營區華欣路,3.1年,大樓,27.78,13.61,1房2廳1衛,9樓/15樓,坡道機械車位,1,0516AH,2025-10-01 15:19:30
五甲商圈採光三房美屋,高雄市鳳山區南正二路,37.9年,公寓,25.67,25.67,3房2廳2衛,5樓/5樓,無車位,470,4203NN,2025-10-01 15:19:30
農十六京典首排大四房平車京城京典,高雄市鼓山區明誠三路,19.1年,大樓,55.58,35.69,4房2廳2衛,14樓/15樓,坡道平面車位,2,55906F,2025-10-01 15:19:40
美術館綠境稀有四房雙平車和築印象巴黎,高雄市鼓山區美術東四路,16.5年,大樓,78.12,46.34,4房2廳3衛,5樓/15樓,兩個以上車位,2,6225BQ,2025-10-01 15:19:40
捷運前金站整層商辦,高雄市前金區中正四路,35.6年,辦公/大樓,173.56,125.81,1廳1衛6室,5樓/12樓,升降平面車位,2,5764MW,2025-10-01 15:19:40
美術館上品大空間三房平車京城上品,高雄市鼓山區美術東四路,20.0年,大樓,68.43,41.09,3房2廳2衛,12樓/15樓,坡道平面車位,2,6092SC,2025-10-01 15:19:40
專約．德賢商圈三房平車,高雄市楠梓區德祥路,33.4年,華廈,42.38,27.89,3房2廳2衛,4樓/7樓,坡道平面車位,758,0234FZ,2025-10-01 15:19:40
棋琴２６重奏美裝潢２房,高雄市左營區文川路,0.8年,大樓,22.14,14.07,2房1廳1.5衛,2樓/15樓,無車位,938,50234A,2025-10-01 15:19:40
【必看】鼎宇陽光稀有五房鼎宇陽光,高雄市左營區民族一路,26.3年,大樓,68.54,49.88,5房2廳2衛,4樓/22樓,無車位,1,1005TD,2025-10-01 15:19:40
愛河畔天河２房平車美宅天河,高雄市前金區市中一路,23.3年,大樓,32.92,14.56,2房1廳1衛,20樓/22樓,坡道平面車位,898,6897HR,2025-10-01 15:19:40
望子成龍成家大４房平車望子成龍,高雄市苓雅區英祥街,30.7年,大樓,49.78,31.42,4房2廳2衛,9樓/14樓,坡道平面車位,1,7936XQ,2025-10-01 15:19:40
【大河苑】河畔旁四房平車大河苑,高雄市楠梓區德豐街,12.9年,大樓,52.31,28.53,4房2廳2衛,6樓/15樓,坡道平面車位,1,1768LR,2025-10-01 15:19:40
✨美術館貝多芬三房平車京城貝多芬,高雄市鼓山區美術東六街,21.2年,大樓,44.42,25.6,3房2廳2衛,12樓/14樓,坡道平面車位,1,8699KY,2025-10-01 15:19:40
陽明稀有亮美大四房平車圓山廈,高雄市三民區陽明路,35.1年,大樓,63.37,42.97,4房2廳2衛,10樓/15樓,坡道平面車位,1,0029JB,2025-10-01 15:19:40
高鐵旁景觀裝潢雙平車豪邸LeMore站前...,高雄市左營區文府路,10.4年,大樓,82.2,37.69,3房2廳2衛,2樓/15樓,兩個以上車位,3,0877UP,2025-10-01 15:19:40
港灣河景高樓採光大兩房皇家之戀,高雄市前金區河南二路,29.8年,大樓,27.39,20.15,2房2廳1衛,20樓/20樓,無車位,768,2967LS,2025-10-01 15:19:40
✨巨蛋聯上質感兩房平車聯上F1,高雄市左營區立文路,11.5年,大樓,34.28,16.1,2房1廳1衛,5樓/15樓,坡道平面車位,1,1988KK,2025-10-01 15:19:40
