113,,112,,111,,110,,109,,108,,107,,106,,105,,104,,103,,102,,101,
區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 
　貢寮區　,"10,719",　貢寮區　,"10,981",　貢寮區　,"11,260",　貢寮區　,"11,534",　貢寮區　,"11,782",　貢寮區　,"12,033",　貢寮區　,"12,301",　貢寮區　,"12,552",　貢寮區　,"12,706",　貢寮區　,"12,860",　貢寮區　,"13,115",　貢寮區　,"13,306",　貢寮區　,"13,412"
　金山區　,"20,059",　金山區　,"20,366",　金山區　,"20,577",　金山區　,"20,844",　金山區　,"21,127",　金山區　,"21,396",　金山區　,"21,774",　金山區　,"22,015",　金山區　,"22,207",　金山區　,"22,260",　金山區　,"22,400",　金山區　,"22,392",　金山區　,"22,486"
　萬里區　,"20,622",　萬里區　,"20,869",　萬里區　,"21,101",　萬里區　,"21,462",　萬里區　,"21,710",　萬里區　,"21,872",　萬里區　,"22,068",　萬里區　,"22,296",　萬里區　,"22,490",　萬里區　,"22,642",　萬里區　,"22,678",　萬里區　,"22,618",　萬里區　,"22,429"
※烏來區　,"6,309",※烏來區　,"6,360",※烏來區　,"6,359",※烏來區　,"6,391",※烏來區　,"6,416",※烏來區　,"6,433",※烏來區　,"6,438",※烏來區　,"6,320",※烏來區　,"6,212",※烏來區　,"6,187",※烏來區　,"6,165",※烏來區　,"6,036",※烏來區　,"5,975"
臺  北  市　,"2,490,869",臺  北  市　,"2,511,886",臺  北  市　,"2,480,681",臺  北  市　,"2,524,393",臺  北  市　,"2,602,418",臺  北  市　,"2,645,041",臺  北  市　,"2,668,572",臺  北  市　,"2,683,257",臺  北  市　,"2,695,704",臺  北  市　,"2,704,810",臺  北  市　,"2,702,315",臺  北  市　,"2,686,516",臺  北  市　,"2,673,226"
　松山區　,"191,826",　松山區　,"193,399",　松山區　,"189,939",　松山區　,"193,388",　松山區　,"200,316",　松山區　,"204,193",　松山區　,"205,702",　松山區　,"206,988",　松山區　,"208,326",　松山區　,"209,714",　松山區　,"210,473",　松山區　,"210,343",　松山區　,"210,905"
　信義區　,"205,067",　信義區　,"206,759",　信義區　,"203,780",　信義區　,"207,500",　信義區　,"215,240",　信義區　,"220,021",　信義區　,"223,406",　信義區　,"225,753",　信義區　,"227,823",　信義區　,"229,211",　信義區　,"229,657",　信義區　,"228,496",　信義區　,"227,734"
　大安區　,"289,908",　大安區　,"291,732",　大安區　,"284,557",　大安區　,"291,410",　大安區　,"302,644",　大安區　,"307,631",　大安區　,"308,843",　大安區　,"309,969",　大安區　,"311,506",　大安區　,"313,058",　大安區　,"313,693",　大安區　,"313,363",　大安區　,"313,426"
　中山區　,"215,245",　中山區　,"216,346",　中山區　,"212,669",　中山區　,"215,567",　中山區　,"223,876",　中山區　,"227,387",　中山區　,"229,456",　中山區　,"230,710",　中山區　,"231,247",　中山區　,"231,350",　中山區　,"230,496",　中山區　,"228,753",　中山區　,"226,659"
　中正區　,"148,375",　中正區　,"150,155",　中正區　,"148,103",　中正區　,"150,644",　中正區　,"155,397",　中正區　,"158,014",　中正區　,"159,000",　中正區　,"159,608",　中正區　,"160,403",　中正區　,"162,475",　中正區　,"163,388",　中正區　,"163,140",　中正區　,"162,154"
