縣市,行政區,113年第四季,113年第三季,113年第二季,113年第一季,112年第四季,112年第三季,112年第二季,112年第一季,111年第四季,111年第三季,111年第二季,111年第一季,110年第四季,110年第三季,110年第二季,110年第一季,109年第四季,109年第三季,109年第二季,109年第一季,108年第四季,108年第三季,108年第二季,108年第一季,107年第四季,107年第三季,107年第二季,107年第一季,106年第四季,106年第三季,106年第二季,106年第一季,105年第四季,105年第三季,105年第二季,105年第一季,104年第四季,104年第三季,104年第二季,104年第一季,103年第四季,103年第三季,103年第二季,103年第一季,102年第四季,102年第三季,102年第二季,102年第一季,101年第四季,101年第三季,101年第二季,101年第一季
台北市,大安區,289908,289908,289908,289908,291732,291732,291732,291732,284557,284557,284557,284557,291410,291410,291410,291410,302644,302644,302644,302644,307631,307631,307631,307631,308843,308843,308843,308843,309969,309969,309969,309969,311506,311506,311506,311506,313058,313058,313058,313058,313693,313693,313693,313693,313363,313363,313363,313363,313426,313426,313426,313426
台北市,中山區,215245,215245,215245,215245,216346,216346,216346,216346,212669,212669,212669,212669,215567,215567,215567,215567,223876,223876,223876,223876,227387,227387,227387,227387,229456,229456,229456,229456,230710,230710,230710,230710,231247,231247,231247,231247,231350,231350,231350,231350,230496,230496,230496,230496,228753,228753,228753,228753,226659,226659,226659,226659
台北市,中正區,148375,148375,148375,148375,150155,150155,150155,150155,148103,148103,148103,148103,150644,150644,150644,150644,155397,155397,155397,155397,158014,158014,158014,158014,159000,159000,159000,159000,159608,159608,159608,159608,160403,160403,160403,160403,162475,162475,162475,162475,163388,163388,163388,163388,163140,163140,163140,163140,162154,162154,162154,162154
台北市,大同區,118992,118992,118992,118992,119930,119930,119930,119930,118833,118833,118833,118833,120772,120772,120772,120772,123849,123849,123849,123849,126043,126043,126043,126043,127625,127625,127625,127625,129278,129278,129278,129278,130071,130071,130071,130071,130929,130929,130929,130929,130973,130973,130973,130973,129820,129820,129820,129820,128809,128809,128809,128809
台北市,萬華區,171915,171915,171915,171915,173652,173652,173652,173652,173040,173040,173040,173040,176617,176617,176617,176617,183088,183088,183088,183088,187076,187076,187076,187076,189603,189603,189603,189603,191850,191850,191850,191850,193539,193539,193539,193539,194339,194339,194339,194339,194715,194715,194715,194715,193480,193480,193480,193480,192628,192628,192628,192628
台北市,文山區,258333,258333,258333,258333,260313,260313,260313,260313,257558,257558,257558,257558,261576,261576,261576,261576,268130,268130,268130,268130,271806,271806,271806,271806,273762,273762,273762,273762,274424,274424,274424,274424,275231,275231,275231,275231,275367,275367,275367,275367,273921,273921,273921,273921,271341,271341,271341,271341,269310,269310,269310,269310
台北市,南港區,112643,112643,112643,112643,113959,113959,113959,113959,113798,113798,113798,113798,115780,115780,115780,115780,118758,118758,118758,118758,120297,120297,120297,120297,121670,121670,121670,121670,122155,122155,122155,122155,122516,122516,122516,122516,122245,122245,122245,122245,121257,121257,121257,121257,119752,119752,119752,119752,118490,118490,118490,118490
台北市,內湖區,273748,273748,273748,273748,276180,276180,276180,276180,272963,272963,272963,272963,276707,276707,276707,276707,282525,282525,282525,282525,285795,285795,285795,285795,287429,287429,287429,287429,287771,287771,287771,287771,287733,287733,287733,287733,287566,287566,287566,287566,285767,285767,285767,285767,282842,282842,282842,282842,280025,280025,280025,280025
台北市,士林區,264194,264194,264194,264194,266951,266951,266951,266951,264716,264716,264716,264716,269682,269682,269682,269682,278451,278451,278451,278451,283459,283459,283459,283459,286544,286544,286544,286544,288295,288295,288295,288295,289939,289939,289939,289939,290694,290694,290694,290694,290455,290455,290455,290455,289742,289742,289742,289742,288894,288894,288894,288894
台北市,北投區,240623,240623,240623,240623,242510,242510,242510,242510,240725,240725,240725,240725,244750,244750,244750,244750,250144,250144,250144,250144,253319,253319,253319,253319,255532,255532,255532,255532,256456,256456,256456,256456,257370,257370,257370,257370,257862,257862,257862,257862,257520,257520,257520,257520,255444,255444,255444,255444,254192,254192,254192,254192
